% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:35
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),real(py) (C*m),real(pz) (C*m)
715,-1.5123426205954192E-31,1.1491341780526382E-31,3.6384417384034E-32
720,-1.3661976193088106E-31,9.93670267173633E-32,3.7946930323834027E-32
725,-1.2174855276094504E-31,8.912768873327145E-32,3.9508520668769694E-32
729.9999999999999,-1.0753544335561387E-31,8.332043562292878E-32,4.106107938333603E-32
735,-9.474975424924577E-32,8.106797738861968E-32,4.259566846594273E-32
739.9999999999999,-8.353265106532308E-32,8.156425652443525E-32,4.4109486764455193E-32
745,-7.408495155118332E-32,8.418339367609009E-32,4.5596296701758265E-32
749.9999999999999,-6.650675670610956E-32,8.836999206397824E-32,4.7050874431705806E-32
755,-6.088365896061277E-32,9.352121930111271E-32,4.8468471753638517E-32
759.9999999999999,-5.708332149989553E-32,9.932976535501363E-32,4.983641339890518E-32
765,-5.505681002141221E-32,1.0541998963762806E-31,5.11554174018406E-32
770,-5.467152117344077E-32,1.1145163531211988E-31,5.2425467338165E-32
775,-5.574618169348582E-32,1.1703935577197981E-31,5.364372939217094E-32
780,-5.808139723764866E-32,1.2207355350822377E-31,5.480798853860225E-32
784.9999999999999,-6.145739455484401E-32,1.2639350504962378E-31,5.59182913150079E-32
790,-6.567591306192047E-32,1.2986688125487257E-31,5.697063500736477E-32
794.9999999999999,-7.051815807598914E-32,1.3241024834653288E-31,5.796223551144196E-32
800,-7.575751613794417E-32,1.3401056369775584E-31,5.889368859523979E-32
804.9999999999999,-8.111079510769623E-32,1.3468307805104467E-31,5.976911179786225E-32
810,-8.649136456401375E-32,1.3451504546459664E-31,6.058484411908483E-32
814.9999999999999,-9.175706841908314E-32,1.335795345399646E-31,6.134074064151276E-32
820,-9.679499278696872E-32,1.319706767183884E-31,6.203766203285157E-32
825,-1.0152052632011023E-31,1.2979322030524462E-31,6.267951939226291E-32
830,-1.0587668821203016E-31,1.2714572420305653E-31,6.326530368796217E-32
835,-1.0982769805007251E-31,1.241223781737041E-31,6.379502064784109E-32
839.9999999999999,-1.133578619611478E-31,1.2081350083837904E-31,6.427003190775608E-32
845,-1.1643270027659795E-31,1.1734941512255984E-31,6.470022205892505E-32
849.9999999999999,-1.191087389350835E-31,1.13751890316707E-31,6.507939273087707E-32
855,-1.214031899486198E-31,1.1007846291950745E-31,6.540905451528639E-32
859.9999999999999,-1.233384006247622E-31,1.0637717858369228E-31,6.56907277610455E-32
865,-1.2492624054346938E-31,1.0273600917936865E-31,6.593572076899341E-32
869.9999999999999,-1.2621625527133722E-31,9.91355590525587E-32,6.613661570592176E-32
875,-1.2723927267114088E-31,9.55537059127191E-32,6.628424028664061E-32
879.9999999999999,-1.2801029506141145E-31,9.205827159500664E-32,6.639018298304441E-32
885,-1.2855530834014546E-31,8.870580987518047E-32,6.646705615211346E-32
890,-1.289042418715248E-31,8.545991005404309E-32,6.650596567106107E-32
894.9999999999999,-1.2906562276013115E-31,8.234686269377747E-32,6.650091047987779E-32
900,-1.2906643480981146E-31,7.936360890057586E-32,6.64567187962382E-32
904.9999999999999,-1.2893285777646784E-31,7.649870580580008E-32,6.637969234263304E-32
910,-1.286834584993509E-31,7.375143678978588E-32,6.627150276940804E-32
914.9999999999999,-1.2833303908447943E-31,7.112031847158929E-32,6.613343722659249E-32
920,-1.278949995873441E-31,6.860289603999178E-32,6.596677486595611E-32
924.9999999999999,-1.2739495135194215E-31,6.622432224552299E-32,6.57859958201206E-32
930,-1.268309399142969E-31,6.394980124897552E-32,6.557936540435212E-32
934.9999999999999,-1.2619647631033188E-31,6.175070020564879E-32,6.533436809855376E-32
940,-1.2551440604964332E-31,5.965077314042865E-32,6.506551300634969E-32
945,-1.248077394217744E-31,5.766849119950441E-32,6.478771419024624E-32
949.9999999999999,-1.2406774338276864E-31,5.577456148079972E-32,6.448844812557093E-32
954.9999999999999,-1.2329921383570451E-31,5.396555059196131E-32,6.416865342508995E-32
960,-1.2250781418507992E-31,5.223695217809288E-32,6.382942725757531E-32
965,-1.2169774285561495E-31,5.058498409043296E-32,6.347173271453837E-32
969.9999999999999,-1.2087284910147554E-31,4.9005841159364624E-32,6.309652677331844E-32
974.9999999999999,-1.2003594936845585E-31,4.7496389629013487E-32,6.270470856264421E-32
980,-1.1919047203942336E-31,4.605269718096432E-32,6.229722798592913E-32
985,-1.1833891295783129E-31,4.4669939459757386E-32,6.187490714572584E-32
989.9999999999999,-1.1748307675984536E-31,4.3340810081608074E-32,6.143830459826496E-32
994.9999999999999,-1.166406702055536E-31,4.208231324785367E-32,6.10026869591267E-32
1000,-1.1579767570624233E-31,4.0876277482872715E-32,6.055463294333379E-32
1005,-1.1493987853029236E-31,3.970776022667046E-32,6.008074288610506E-32
1010,-1.1408449149805994E-31,3.8587740873906814E-32,5.959604471629676E-32
1014.9999999999999,-1.13247693476603E-31,3.752540669351592E-32,5.911547476269172E-32
1019.9999999999999,-1.124151088473214E-31,3.6505787442849174E-32,5.862555313167405E-32
1025,-1.1158743866565545E-31,3.5526940668316123E-32,5.812702287189264E-32
1030,-1.1076551074764588E-31,3.4586707280197345E-32,5.762056896485035E-32
1035,-1.0994976630357086E-31,3.368344350865486E-32,5.710692051493607E-32
1039.9999999999998,-1.0914089012159752E-31,3.281512211271371E-32,5.658670920211877E-32
1045,-1.083392248786526E-31,3.198020211981904E-32,5.606061639442398E-32
1050,-1.075452301763724E-31,3.117694540312312E-32,5.552924610882824E-32
1055,-1.0675913627889557E-31,3.040396701120669E-32,5.499324292882143E-32
1060,-1.0598126659560832E-31,2.965972216138944E-32,5.445317337912834E-32
1064.9999999999998,-1.052116852071458E-31,2.894310689803794E-32,5.390968692241256E-32
1070,-1.0445069445356907E-31,2.825260321337566E-32,5.336327413881141E-32
1075,-1.0369833551228792E-31,2.7587155699455076E-32,5.281452356901335E-32
1080,-1.029547794990773E-31,2.694547621968772E-32,5.226390676155191E-32
1084.9999999999998,-1.0223301645599304E-31,2.6332941405154436E-32,5.172486579768756E-32
1090,-1.0151837989870586E-31,2.574174457584978E-32,5.118345812091385E-32
1095,-1.0079759836700933E-31,2.516511655262744E-32,5.062691787125641E-32
1100,-1.0008584751580207E-31,2.4608338839514554E-32,5.007049389744836E-32
