% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.282
% Date:               May 22 2025, 17:29
% Dimension:          1
% Nodes:              101
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
820,3.720147553732953E-25,-2.9235443768551086E-26,-2.8155605856764466E-24
825,3.563055509056626E-25,-4.006211430733243E-26,-2.7634172986469856E-24
830,3.3982044549402406E-25,-4.8990731768366404E-26,-2.6967549948564304E-24
835,3.2292504900308645E-25,-5.621608244033044E-26,-2.619226534037758E-24
839.9999999999999,3.059355995408134E-25,-6.193220018633178E-26,-2.534114074775905E-24
845,2.8935195948173003E-25,-6.627307739338904E-26,-2.4462112762457773E-24
849.9999999999999,2.7310705693886892E-25,-6.949540108737466E-26,-2.35563338671736E-24
855,2.5734761393900963E-25,-7.175129376792663E-26,-2.2641054852144125E-24
859.9999999999999,2.421807304978936E-25,-7.317919491524177E-26,-2.17298334265321E-24
865,2.278810863748824E-25,-7.389962607910091E-26,-2.0851658423582357E-24
869.9999999999999,2.142670167452352E-25,-7.404437734236117E-26,-1.999468436591435E-24
875,2.0119143846984197E-25,-7.36944384241307E-26,-1.914683596015754E-24
879.9999999999999,1.8885703252511997E-25,-7.293546231067792E-26,-1.8331099331125755E-24
885,1.7741048381639933E-25,-7.186068630251125E-26,-1.7565683322631734E-24
890,1.6665835425392383E-25,-7.052335171426729E-26,-1.683490974503466E-24
894.9999999999999,1.5655106811536733E-25,-6.899216198901736E-26,-1.6140945981910519E-24
900,1.4707623068626455E-25,-6.730789613942062E-26,-1.5483120741084572E-24
904.9999999999999,1.3822971337190216E-25,-6.549579603713672E-26,-1.485941030626285E-24
910,1.2996911648034137E-25,-6.359269291234089E-26,-1.4269279555750124E-24
914.9999999999999,1.2226087213263337E-25,-6.162595950857484E-26,-1.3711495722614379E-24
920,1.15070840748344E-25,-5.961883079872091E-26,-1.3184695856420147E-24
924.9999999999999,1.0844112893854141E-25,-5.762172679032055E-26,-1.2698471923471067E-24
930,1.0225270023649911E-25,-5.561866577999564E-26,-1.2239233273790124E-24
934.9999999999999,9.641677676215968E-26,-5.359096017054452E-26,-1.1795312025326313E-24
940,9.09749797359221E-26,-5.158213692632353E-26,-1.1376395618183206E-24
945,8.595283465234544E-26,-4.96300810941111E-26,-1.0990263977845356E-24
949.9999999999999,8.126282872898627E-26,-4.771122094404242E-26,-1.0625427574063315E-24
954.9999999999999,7.688638292295703E-26,-4.582986164151575E-26,-1.028046516940067E-24
960,7.279672781766064E-26,-4.399174846901182E-26,-9.954248847017107E-25
965,6.897404497896231E-26,-4.220009733055707E-26,-9.645574477311163E-25
969.9999999999999,6.539878202040726E-26,-4.045756487982374E-26,-9.353327298115569E-25
974.9999999999999,6.205677531605778E-26,-3.8765171223081894E-26,-9.076371315192305E-25
