% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 21 2025, 22:59
% Dimension:          1
% Nodes:              101
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
76.99999999999999,2.2203079881178303E-14,1.504589039117269E-15,1.981704206297729E-17,1.501778656987015E-19,2.3727636140224245E-14
78,2.4760542135798076E-14,1.799534958776491E-15,2.255666047000064E-17,1.8618977585983621E-19,2.6582819944820425E-14
79,2.7592749652941793E-14,2.1530923047958373E-15,2.562884462460844E-17,2.304254655892195E-19,2.977170122782783E-14
79.99999999999999,3.0727361948583814E-14,2.5773308579810113E-15,2.9075102751871827E-17,2.846631677954886E-19,3.333405257248449E-14
81,3.41941505888752E-14,3.086920840989897E-15,3.294510232066969E-17,3.510363612165928E-19,3.731436756854698E-14
82,3.802472028093632E-14,3.699710693238544E-15,3.729888249970511E-17,4.32093079732127E-19,4.1762161949754305E-14
82.99999999999999,4.225187478707867E-14,4.437417977489102E-15,4.220900420959238E-17,5.308603606542997E-19,4.673203262913803E-14
84,4.690904644288658E-14,5.3264966258583855E-15,4.776503664329972E-17,6.50910465670615E-19,5.228395901585394E-14
85,5.2028964571254644E-14,6.3991087440703765E-15,5.407791974027293E-17,7.964230587191722E-19,5.848294765812401E-14
85.99999999999999,5.764134707716954E-14,7.694372523607336E-15,6.128285412498074E-17,9.722405417412193E-19,6.53979746954436E-14
87,6.377026214898602E-14,9.259687800635603E-15,6.954641609892012E-17,1.1838959106771414E-18,7.310068026163121E-14
88,7.042984714137083E-14,1.1152308003159488E-14,7.907075747402548E-17,1.4376052024722125E-18,8.166266350720682E-14
88.99999999999999,7.761880002709613E-14,1.3441057469845782E-14,9.009874982894294E-17,1.7401985049736018E-18,9.115169644527583E-14
90,8.531275797443876E-14,1.62080397854694E-14,1.0291661288667674E-16,2.0989575731779613E-18,1.0162581333036801E-13
91,9.345505889576109E-14,1.955034503126864E-14,1.1785542205288435E-16,2.521337844782213E-18,1.131257806869274E-13
91.99999999999999,1.019454371388547E-13,2.3581460244596952E-14,1.3528433344653565E-16,3.014550635081025E-18,1.2566519626753327E-13
93,1.1062751446086052E-13,2.8432197720239947E-14,1.5559832473812385E-16,3.585000502495867E-18,1.392188955063411E-13
94,1.1927572419822104E-13,3.425143568488217E-14,1.7918580918748231E-16,4.237702632123676E-18,1.5371058339492284E-13
94.99999999999999,1.2758710506703432E-13,4.120664755006212E-14,2.0638964365419144E-16,4.9757944590002315E-18,1.6900511805520965E-13
96,1.3517879226940504E-13,4.948631184154428E-14,2.3743371706886554E-16,5.80068099945965E-18,1.8490833850901764E-13
97,1.4160055879108018E-13,5.930988185154498E-14,2.7234171210461216E-16,6.713577715882785E-18,2.0118949593244565E-13
97.99999999999999,1.463667857280319E-13,7.095457578995056E-14,3.1083222460891127E-16,7.719789448957081E-18,2.1763991353204036E-13
98.99999999999999,1.4901356566118936E-13,8.482366813327813E-14,3.5222324223268047E-16,8.837992970394575E-18,2.341982950296706E-13
100,1.491812763827707E-13,1.0160633050270263E-13,3.9536581197643925E-16,1.011809389698865E-17,2.5119309079134674E-13
100.99999999999999,1.467116735325715E-13,1.2264018716360066E-13,4.386369494646472E-16,1.1674215632981811E-17,2.698021718612698E-13
101.99999999999999,1.4174002682589038E-13,1.5074356507748818E-13,4.800291539649003E-16,1.3745144158971587E-17,2.9297736620150245E-13
103,1.3476325119970227E-13,1.9208312934833304E-13,5.17306356039304E-16,1.6802296434137628E-17,3.2738048920050875E-13
103.99999999999999,1.266572810687743E-13,2.5972101165467655E-13,5.482537821971541E-16,2.1676922948004956E-17,3.8694822342859596E-13
104.99999999999999,1.1865245480767467E-13,3.722667658965328E-13,5.708931328007859E-16,2.909051636401192E-17,4.915192043533723E-13
106,1.1226928864651387E-13,4.9848468931772E-13,5.836832073033343E-16,3.5863530291613956E-17,6.113735247018288E-13
106.99999999999999,1.0925653219800405E-13,5.000571464674771E-13,5.856224772541676E-16,3.4742520239705026E-17,6.099340436629749E-13
107.99999999999999,1.115496250691672E-13,4.0987468269433826E-13,5.762985567067467E-16,3.178883724380914E-17,5.22032395157456E-13
109,1.2127932629736135E-13,3.396019928391096E-13,5.55905269607561E-16,3.41296245930746E-17,4.614713540306715E-13
