% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2025, 19:12
% Dimension:          1
% Nodes:              71
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
85.99999999999999,5.555324666798173E-23,-4.145714678637089E-23,5.652222768506641E-23,-4.390544572760079E-23,-5.810904973967191E-24,-2.5328836409925104E-23
87,5.924745504831081E-23,-4.7648619036792726E-23,6.018082139268985E-23,-5.024079100012414E-23,-6.561952198432109E-24,-2.810703599633343E-23
88,6.289933504524396E-23,-5.479326328440981E-23,6.378189950911158E-23,-5.752709525051986E-23,-7.438049628166724E-24,-3.124278031906595E-23
88.99999999999999,6.639468768049814E-23,-6.302200096531375E-23,6.720967205403663E-23,-6.589174562845297E-23,-8.467751746767747E-24,-3.479655862296066E-23
90,6.957841996238372E-23,-7.247112813191746E-23,7.030783016003919E-23,-7.546646555679067E-23,-9.688302961348713E-24,-3.884266386996959E-23
91,7.224465013623366E-23,-8.32751727192183E-23,7.286996684897715E-23,-8.638005749164343E-23,-1.1149030572307471E-23,-4.347326703404013E-23
91.99999999999999,7.41266581637527E-23,-9.555478180702743E-23,7.46299557146207E-23,-9.874618493009869E-23,-1.291634288918296E-23,-4.880398042535834E-23
93,7.488741156915002E-23,-1.0939902511192502E-22,7.525311692424855E-23,-1.1264562972461186E-22,-1.508133320113688E-23,-5.49815219788674E-23
94,7.411470057684339E-23,-1.248406366163691E-22,7.433197355170676E-23,-1.2810187356824726E-22,-1.7771606605995222E-23,-6.219455524905376E-23
94.99999999999999,7.132208220350227E-23,-1.4182409008793196E-22,7.138812215209983E-23,-1.450493540700365E-22,-2.117015694012317E-23,-7.068885887542721E-23
96,6.596427180510336E-23,-1.6016614481324255E-22,6.588837180576105E-23,-1.6329558835790755E-22,-2.5546620638386638E-23,-8.078914664052001E-23
97,5.746795159287133E-23,-1.7951904957836096E-22,5.727625444625837E-23,-1.824848852280711E-22,-3.1310683415221103E-23,-9.293010324188711E-23
97.99999999999999,4.528568541474103E-23,-1.993371795683319E-22,4.502599122981726E-23,-2.020675288421934E-22,-3.910726298328565E-23,-1.0769989213916178E-22
98.99999999999999,2.896964886148478E-23,-2.1886520694528084E-22,2.8715710098917656E-23,-2.2128996150850347E-22,-4.99943476687647E-23,-1.2589715861475887E-22
100,8.257993217212817E-24,-2.371592072913441E-22,8.111965706879092E-24,-2.392181001554663E-22,-6.579059976711216E-23,-1.4858810805204847E-22
100.99999999999999,-1.6844817397455896E-23,-2.531482431727699E-22,-1.6752697376551877E-23,-2.5480045189864833E-22,-8.979085568763468E-23,-1.770891504737973E-22
101.99999999999999,-4.601659848904922E-23,-2.6574122158616344E-22,-4.5531569575734966E-23,-2.669751334318292E-22,-1.2829988708874244E-22,-2.1254338101817524E-22
103,-7.861822518876133E-23,-2.739424824148516E-22,-7.756872970506694E-23,-2.747843409328186E-22,-1.938687603966013E-22,-2.536755987635978E-22
103.99999999999999,-1.1375788371760236E-22,-2.769745928990391E-22,-1.1196509549173252E-22,-2.774941550936025E-22,-3.104108081841427E-22,-2.8694648170320324E-22
104.99999999999999,-1.5039573782347573E-22,-2.7434303565706103E-22,-1.4768476682159358E-22,-2.74655725941232E-22,-5.041483638621067E-22,-2.5234468950395067E-22
