% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Mar 28 2025, 19:09
% Dimension:          1
% Nodes:              71
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
103.99999999999999,8.460107654110355E-31,3.712040591183932E-31,-8.539237358618119E-31,-4.778452336901837E-31,4.06660574104337E-32,3.594539612107433E-31
104.99999999999999,8.069171665457894E-31,3.706249533171919E-31,-8.168149002598564E-31,-4.817755105031425E-31,4.8866496258421424E-32,3.591922069809408E-31
106,7.628065809108525E-31,3.895740745545988E-31,-7.7461917741112885E-31,-5.057484008437737E-31,5.69130329399062E-32,3.5862992321835476E-31
106.99999999999999,7.185927149623571E-31,4.303491729267727E-31,-7.323653992922123E-31,-5.522421969255109E-31,6.480974776303533E-32,3.577909490515262E-31
107.99999999999999,6.796802691056185E-31,4.941749428244878E-31,-6.956385501517602E-31,-6.226516628105488E-31,7.255919377801776E-32,3.5669556125242375E-31
109,6.517788170618851E-31,5.812871650020014E-31,-6.703959999501278E-31,-7.173592703128712E-31,8.016612951525324E-32,3.553624056504715E-31
109.99999999999999,6.408825387145675E-31,6.910260401524856E-31,-6.629515064545686E-31,-8.358148111288899E-31,8.763861590211103E-32,3.5381395560122176E-31
110.99999999999999,6.5338558006738284E-31,8.2181780253858E-31,-6.800984980185335E-31,-9.764999420992432E-31,9.498704216432066E-32,3.520582113101351E-31
112,6.9632224298404965E-31,9.709671614826708E-31,-7.293620152552136E-31,-1.136691461795616E-30,1.0221561477674847E-31,3.5011755770588447E-31
112.99999999999999,7.775397305810661E-31,1.1340981068102897E-30,-8.19177770425542E-31,-1.3118572578569993E-30,1.0933438566609782E-31,3.480031311114089E-31
113.99999999999999,9.056597839058415E-31,1.304235960824532E-30,-9.588517186668471E-31,-1.4946678619935794E-30,1.1636392466813483E-31,3.4572089721742666E-31
115,1.0895224798195491E-30,1.4704962403368701E-30,-1.1579597244826572E-30,-1.6735825824594988E-30,1.2331038645838385E-31,3.43280275488054E-31
115.99999999999999,1.3365779256316743E-30,1.616551359830164E-30,-1.424628712041231E-30,-1.8311992835097433E-30,1.3019124578908917E-31,3.4068801952863566E-31
116.99999999999999,1.6497765761928466E-30,1.719569722012955E-30,-1.7622032941764587E-30,-1.943096214390679E-30,1.3701296127703898E-31,3.3794918095019246E-31
118,2.0226856319397923E-30,1.7509889041776475E-30,-2.1639994299905336E-30,-1.9786352012176835E-30,1.4379503598582985E-31,3.3507099468960794E-31
118.99999999999999,2.4341417771834803E-30,1.6811270230981598E-30,-2.6075388508470874E-30,-1.9058765804084983E-30,1.5054707027816667E-31,3.320471575588538E-31
120,2.8457065626111433E-30,1.48867275889328E-30,-3.0517587943385655E-30,-1.701744501190642E-30,1.572837031096334E-31,3.288825658459375E-31
