% Model:              2D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 5 2025, 21:49
% Dimension:          1
% Nodes:              80
% Expressions:        3
% Description:        Table graph
% r_air (um),F_x (N),F_y (N),F_z (N)
2.6227848101265825,1.956596107466933E-27,-2.988065685269497E-29,-4.250198218947205E-27
2.6962025316455698,1.9472212818012023E-27,-3.2909930956185125E-29,-4.224130439097033E-27
2.769620253164557,1.937304813061288E-27,-2.0830802652749183E-29,-4.165391606701553E-27
2.8430379746835444,1.924376443882594E-27,-2.4206996813678126E-29,-4.166429132935433E-27
2.916455696202532,1.9328042340519653E-27,-2.758540586805801E-29,-4.2059549342525385E-27
2.9898734177215194,1.9478378847506945E-27,-3.1649522317852665E-29,-4.253340369802337E-27
3.0632911392405067,1.9583741642455247E-27,-2.3947556176822478E-29,-4.237703363436279E-27
3.1367088607594935,1.9421032366140443E-27,-2.574214091887043E-29,-4.191478828587398E-27
3.2101265822784812,1.928789242776598E-27,-2.333131416946818E-29,-4.1666105125166325E-27
3.283544303797468,1.9299423055626448E-27,-2.3988010681445215E-29,-4.1904907891590946E-27
3.356962025316456,1.9458055306774736E-27,-2.435563501013504E-29,-4.2357252629139975E-27
3.430379746835443,1.9582108036108303E-27,-2.3353995100050497E-29,-4.2421800399387666E-27
3.503797468354431,1.944526955982028E-27,-3.110921394847704E-29,-4.215920782357837E-27
3.5772151898734177,1.934422698722607E-27,-2.4070065337039412E-29,-4.177275454276442E-27
3.6506329113924054,1.9279799901384526E-27,-2.4064536290535512E-29,-4.182148696680195E-27
3.7240506329113927,1.9409349266644075E-27,-2.1479763321847724E-29,-4.2161507561470616E-27
3.79746835443038,1.95462711915785E-27,-2.2436532360416446E-29,-4.242799136468162E-27
3.8708860759493673,1.9501202573777987E-27,-2.9415663265747043E-29,-4.228292295086826E-27
3.9443037974683546,1.9414081338817135E-27,-2.3757896567050907E-29,-4.194667965112201E-27
4.017721518987341,1.920286620120134E-27,-3.5466583672785777E-29,-4.181509885074684E-27
4.09113924050633,1.9360418713300074E-27,-2.0806299720251043E-29,-4.198906674536771E-27
4.1645569620253164,1.9409687238647928E-27,-3.148659173051583E-29,-4.234586998101722E-27
4.237974683544304,1.95342227571306E-27,-2.6294913669963914E-29,-4.238786065190762E-27
4.311392405063291,1.946212826737816E-27,-2.5844726009835526E-29,-4.197095384279299E-27
4.384810126582279,1.934848557013217E-27,-2.2792943893696588E-29,-4.178594988789919E-27
4.4582278481012665,1.932124113791684E-27,-2.2290002599799772E-29,-4.186945507652502E-27
4.531645569620253,1.9432469187851227E-27,-2.1766974628402373E-29,-4.217611987008554E-27
4.60506329113924,1.949682486460934E-27,-2.817402641622743E-29,-4.232724211947407E-27
4.678481012658228,1.9541421777407386E-27,-2.1367307220049602E-29,-4.2187141476203786E-27
4.751898734177216,1.9324703034166162E-27,-3.242186006683116E-29,-4.1905758523598244E-27
4.8253164556962025,1.930761382060674E-27,-2.43628928184264E-29,-4.1805562893553694E-27
4.89873417721519,1.9315838437632095E-27,-2.8957985858460733E-29,-4.207965089389103E-27
4.972151898734178,1.953214712674611E-27,-1.9648006854993444E-29,-4.2313584842985844E-27
5.045569620253165,1.9494530847812448E-27,-2.974595174115338E-29,-4.2263436246254635E-27
5.118987341772152,1.946481006682746E-27,-2.180836761562602E-29,-4.199527334056588E-27
5.192405063291139,1.9301710692821026E-27,-2.740684771420314E-29,-4.177376480149796E-27
5.265822784810127,1.9393090240533142E-27,-1.5865280253571953E-29,-4.186890814981925E-27
5.339240506329114,1.9469378680006457E-27,-2.0128146444300728E-29,-4.2208313776184365E-27
5.412658227848101,1.9467857634544608E-27,-3.1680497571161836E-29,-4.2322614851105E-27
5.4860759493670885,1.9499800471055785E-27,-2.3522467859378685E-29,-4.211450263095182E-27
5.559493670886076,1.933661620095226E-27,-2.841001026921685E-29,-4.187802568181072E-27
5.632911392405064,1.9252843646595878E-27,-3.0947870341991176E-29,-4.1885230112825564E-27
5.70632911392405,1.9422810248409564E-27,-1.876147360459564E-29,-4.206537990472135E-27
5.779746835443039,1.9537395070045948E-27,-1.94672957321358E-29,-4.228142435227784E-27
5.853164556962025,1.9507939160137743E-27,-2.6249542887901543E-29,-4.229211875800347E-27
5.926582278481012,1.9393937726164995E-27,-2.624439152844011E-29,-4.1939341748934735E-27
6,1.9345015341034544E-27,-1.944846834659122E-29,-4.178462280622111E-27
