% Model:              3D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 5 2025, 18:30
% Dimension:          1
% Nodes:              40
% Expressions:        6
% Description:        Table graph
% Rs (nm),F_x (N),-F_x_m (N),F_y (N),-F_y_m (N),F_z (N),-F_z_m (N)
1466.6666666666665,2.5543168441373863E-27,2.5323669513004924E-27,1.2830383509858537E-28,3.310626893004364E-29,-1.1067664388613853E-28,-9.660370816382635E-29
1564.1025641025637,3.156825542946926E-27,2.9369132482714876E-27,9.107167085591685E-29,-1.5486127203454921E-28,-2.451366351074555E-27,-2.5365561071768305E-27
1661.5384615384614,2.7301657648167364E-27,2.8231222885521475E-27,-2.537299143277634E-28,-1.0996911717145192E-28,-5.36385174665053E-27,-5.36627438760408E-27
1758.9743589743587,1.808452427372196E-27,1.8522971416912573E-27,4.9182160675902795E-29,-4.8300591522151215E-29,-6.956029697043314E-27,-6.958346997985521E-27
1856.4102564102561,9.718874505526729E-28,9.386828642366361E-28,-8.178738245821823E-29,-1.294370042819796E-28,-7.285548007819401E-27,-7.250801608055479E-27
1953.8461538461538,1.0196205602752485E-27,1.0200359872549888E-27,-1.5914858641775445E-28,-2.229090048494364E-28,-6.863330300733989E-27,-6.888768430747149E-27
2051.2820512820513,1.5934874286306058E-27,1.6288453246183717E-27,-1.6697239328842596E-28,-1.6720776747005523E-28,-5.5720582616865914E-27,-5.627695417144104E-27
2148.7179487179483,1.7272587833099325E-27,1.618454373722977E-27,9.120489683671202E-29,-4.7823389663325806E-29,-3.309862983517365E-27,-3.389152056122888E-27
2246.1538461538457,1.2748685150919634E-27,1.0891616846093682E-27,2.037716528098441E-28,-1.8633999336142248E-29,-1.1965779242138536E-27,-1.3245725915121904E-27
2343.5897435897436,1.1687820672846244E-27,1.1307098357807987E-27,1.2076549478177024E-29,-7.905221720996801E-29,-1.1171887453140984E-27,-1.1886130666102319E-27
2441.0256410256407,1.9055106615651108E-27,1.793894697632551E-27,-3.3493402487724196E-29,-6.958024245462497E-29,-2.913145654038371E-27,-3.0024472554207592E-27
2538.461538461538,2.2281622793812462E-27,2.295684965114072E-27,-1.1763260212209512E-28,-6.320956835737306E-29,-5.2367568301953655E-27,-5.2673663253472345E-27
2635.8974358974356,2.488719707573477E-27,2.4123882720343377E-27,6.443397316148691E-29,5.550434454919838E-30,-6.701265695854797E-27,-6.640355548683368E-27
2733.333333333333,2.4737011402821785E-27,2.3366328787014835E-27,1.3316153260909153E-28,-1.2691820218097917E-28,-6.906307522100144E-27,-6.966198437752667E-27
2830.76923076923,2.491933235656966E-27,2.376902949239106E-27,-5.18148316232045E-29,-1.1509743478783341E-28,-5.884136093224422E-27,-5.946872260885539E-27
2928.205128205128,2.1429254387147388E-27,2.1768817499142073E-27,-5.783949502132056E-29,-5.67139015959047E-29,-3.65974839003918E-27,-3.708998841061366E-27
3025.6410256410254,1.821961118345801E-27,1.830261055430252E-27,-9.993254433553779E-29,-8.454240028477391E-29,-1.2595603317648182E-27,-1.3356457788040674E-27
3123.0769230769224,1.862255257256382E-27,2.0096095484490225E-27,-2.7273306758634674E-28,-1.1179016735427574E-28,-5.862735425118684E-28,-5.105329010347514E-28
3220.5128205128203,2.4784102589120514E-27,2.4948789367049484E-27,-1.290913127770795E-28,-1.11528034774154E-28,-1.8372957235215376E-27,-1.7919674035519457E-27
3317.948717948718,2.371471984810156E-27,2.3886745655682243E-27,4.0431691907305474E-29,-8.432525715126862E-29,-4.023777155685219E-27,-4.0714567999865845E-27
3415.384615384615,1.6889477545419892E-27,1.5840961891484074E-27,1.4255596939227876E-28,-6.144941144641092E-29,-6.0993347100533554E-27,-6.149720346566808E-27
3512.8205128205127,1.0390224105616709E-27,1.0207098958479644E-27,-8.492172066555506E-29,-1.1417862035393073E-28,-7.749813824331874E-27,-7.765838193258215E-27
3610.25641025641,1.4523139162657365E-27,1.2920505994792173E-27,-6.186017583384953E-30,-1.2351565071659278E-28,-8.300002582756145E-27,-8.433760278734473E-27
3707.692307692307,1.845694991508973E-27,1.81893152471477E-27,-5.208733163857215E-29,-1.0490038357758216E-28,-7.343418318579595E-27,-7.392551119760689E-27
3805.1282051282046,1.9256797914688493E-27,1.9199313726397835E-27,4.471678841262526E-29,-4.122599973493849E-29,-4.6393410998653866E-27,-4.6198802389159484E-27
3902.5641025641025,1.777388202838762E-27,1.7787870291073328E-27,-5.706377602467798E-29,-1.2234804093502917E-28,-1.811575708888194E-27,-1.7909126337365016E-27
4000,2.0136689828494215E-27,1.9783547743523493E-27,-1.2970374778792098E-29,-9.081835953491716E-29,-3.309428312359602E-28,-3.8508908302247424E-28
