% Model:              2D-Au-Plate-from-domen-size.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 6 2025, 10:15
% Dimension:          1
% Nodes:              80
% Expressions:        3
% Description:        Table graph
% r_air (um),F_x (N),F_y (N),F_z (N)
4.1645569620253164,2.485287134357903E-27,-2.8265393147443164E-27,8.127854797583801E-26
4.237974683544304,2.4841596524826788E-27,-2.8111495206167147E-27,8.149126307046022E-26
4.311392405063291,2.485394890577264E-27,-2.807976911381189E-27,8.159628877277191E-26
4.384810126582279,2.4840399402562787E-27,-2.8226097700107897E-27,8.14432574797272E-26
4.4582278481012665,2.4812386294591976E-27,-2.834968839825469E-27,8.126843260726862E-26
4.531645569620253,2.47886593847156E-27,-2.8310697883405735E-27,8.128878582637091E-26
4.60506329113924,2.4814401067382144E-27,-2.8103257639219025E-27,8.151052074886103E-26
4.678481012658228,2.479958833030181E-27,-2.802246246168149E-27,8.164399634067941E-26
4.751898734177216,2.483612327049288E-27,-2.8084743088737843E-27,8.155933290988498E-26
4.8253164556962025,2.4864202596823E-27,-2.8292710895714965E-27,8.135286210247729E-26
4.89873417721519,2.4974241459247538E-27,-2.8331184218380408E-27,8.123539103766632E-26
4.972151898734178,2.5034267145746863E-27,-2.8235285042154668E-27,8.139347068071376E-26
5.045569620253165,2.512715650792959E-27,-2.8044978813430816E-27,8.159338386315491E-26
5.118987341772152,2.513664766087768E-27,-2.8125062769661907E-27,8.157349210779864E-26
5.192405063291139,2.5071107630656204E-27,-2.8276291260365755E-27,8.139740261938597E-26
5.265822784810127,2.4900965748803376E-27,-2.8422562178734103E-27,8.123325650611617E-26
5.339240506329114,2.483507711695426E-27,-2.8351556285095284E-27,8.124881491084932E-26
5.412658227848101,2.481111491483843E-27,-2.8159487892183604E-27,8.142429140422679E-26
5.4860759493670885,2.4717249215165355E-27,-2.8151206673757704E-27,8.149649747775892E-26
5.559493670886076,2.4716442833601263E-27,-2.8246571348247497E-27,8.139750006477048E-26
5.632911392405064,2.4649102992680403E-27,-2.8332935312279347E-27,8.126768006323988E-26
5.70632911392405,2.453313899711649E-27,-2.8307994746506354E-27,8.130140387542697E-26
5.779746835443039,2.4428900691446457E-27,-2.812085286869134E-27,8.150717584668698E-26
5.853164556962025,2.4337107615166804E-27,-2.798830265741609E-27,8.162989022208944E-26
5.926582278481012,2.435716659425939E-27,-2.8077966429160134E-27,8.158125566975912E-26
6,2.4470055463997125E-27,-2.8246375251503994E-27,8.140762919462959E-26
