% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 15 2025, 16:49
% Dimension:          1
% Nodes:              71
% Expressions:        3
% Description:        Table graph
% lambda0 (nm),F_x (N),F_y (N),F_z (N)
749.9999999999999,9.39414297527277E-25,-7.374330101741183E-26,1.5198360767182676E-24
759.9999999999999,6.777660135834604E-25,-9.260926646923958E-26,2.6070422079542962E-24
770,4.999502986511389E-25,-1.1720814151686986E-25,2.7974786048802448E-24
780,4.139003642615251E-25,-1.4103792629955962E-25,2.385622752202249E-24
790,3.9835678560224404E-25,-1.582064389027056E-25,1.6565514712452416E-24
800,4.2982590032989695E-25,-1.5519806406587243E-25,8.37148928972674E-25
810,4.776469696379302E-25,-9.516698475129233E-26,2.33136175889861E-25
820,4.850916419928086E-25,6.267287939558489E-26,1.5736225997544286E-25
830,4.682871702640026E-25,1.9016996620166226E-26,-6.578142991320948E-25
839.9999999999999,5.148010007964846E-25,-1.4978977402171254E-25,-2.0117710561259352E-24
849.9999999999999,5.490472715303762E-25,-2.3122696309713235E-25,-2.8390199596436995E-24
859.9999999999999,5.56407251859346E-25,-2.646364913910444E-25,-3.2915641337684836E-24
869.9999999999999,5.423697219827558E-25,-2.7485973811815335E-25,-3.4944444862404864E-24
879.9999999999999,5.131382065725184E-25,-2.723219720387053E-25,-3.528069158219048E-24
890,4.757207096147371E-25,-2.6278440615410243E-25,-3.44930951363935E-24
900,4.341289698633816E-25,-2.492072764663965E-25,-3.2998703346026113E-24
910,3.9194571948713543E-25,-2.3365644470837946E-25,-3.110422484203819E-24
920,3.5133290235472878E-25,-2.1747652954162926E-25,-2.9032621013005975E-24
930,3.1402611522138694E-25,-2.0183856092152248E-25,-2.698075470035669E-24
940,2.793716481412489E-25,-1.8653716377185381E-25,-2.4931655432423126E-24
949.9999999999999,2.485670493071037E-25,-1.7250677632771632E-25,-2.304128337172584E-24
960,2.209793119093691E-25,-1.595434869250384E-25,-2.128473927315332E-24
969.9999999999999,1.963954864108934E-25,-1.4769194581630306E-25,-1.967597468113296E-24
980,1.745749525060369E-25,-1.3692945178557107E-25,-1.8217102081039346E-24
989.9999999999999,1.5523910613760445E-25,-1.2718697581940586E-25,-1.6903364039530227E-24
1000,1.3834604689923304E-25,-1.185451075271744E-25,-1.5756475207842365E-24
1010,1.2320983531237487E-25,-1.105857979507841E-25,-1.4706798979104204E-24
1019.9999999999999,1.100061688030714E-25,-1.0352139560806519E-25,-1.37992970653448E-24
1030,9.833997273237187E-26,-9.710654735513947E-26,-1.2993751734225845E-24
1039.9999999999998,8.804470407535354E-26,-9.125969369369059E-26,-1.2278859869146489E-24
1050,7.896578173824678E-26,-8.590639871086468E-26,-1.1643665546876366E-24
1060,7.096529306508905E-26,-8.098026695927167E-26,-1.107766405475686E-24
1070,6.392189180479406E-26,-7.642337286451847E-26,-1.0570983388757055E-24
1080,5.772151633556742E-26,-7.218638937017992E-26,-1.0114696019111199E-24
1090,5.230903647703127E-26,-6.830312116521993E-26,-9.715788756580534E-25
1100,4.7474461198956374E-26,-6.459150234696919E-26,-9.334389197759786E-25
