% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:00
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
26.999999999999996,1.1692229336295122E-26,-1.8565421332300282E-27,2.4452954700625805E-27,1.2638924611334272E-26,3.285791582573208E-28,1.901848579395032E-27
28,1.404518963647282E-26,-2.2323364291081483E-27,2.9385107880129084E-27,1.517751431026063E-26,4.016962429697359E-28,2.3285734077784063E-27
28.999999999999996,1.6766327605808486E-26,-2.6677818372270043E-27,3.5094879827993554E-27,1.8112100444782135E-26,4.878736763502291E-28,2.8322508207793632E-27
30,1.9898355904525957E-26,-3.1701030937831134E-27,4.167493915410456E-27,2.1488328852202992E-26,5.889273845680196E-28,3.423697991886061E-27
30.999999999999996,2.348746682895576E-26,-3.7471651325883455E-27,4.922597619866654E-27,2.5355626904766255E-26,7.06861166675371E-28,4.1148707812001E-27
31.999999999999996,2.7583524091019886E-26,-4.407563706938461E-27,5.785771851595346E-27,2.9767121412137E-26,8.438869052769306E-28,4.918953172359861E-27
33,3.2240234786058986E-26,-5.1606834105400265E-27,6.768927453454623E-27,3.4780209754520797E-26,1.0024287903795126E-27,5.850452619083951E-27
33.99999999999999,3.751539626570346E-26,-6.016757653493807E-27,7.885039069478308E-27,4.045633963953163E-26,1.185155346511833E-27,6.925298005464704E-27
35,4.347112788747602E-26,-6.986929973643478E-27,9.148164595631264E-27,4.686174439803525E-26,1.3949824763673673E-27,8.160941616389296E-27
36,5.01741092335391E-26,-8.083393121070307E-27,1.0573576104013009E-26,5.406731722804388E-26,1.6350988220410586E-27,9.576473296507182E-27
36.99999999999999,5.769586145097924E-26,-9.31940937146634E-27,1.2177924212856959E-26,6.214894775030662E-26,1.908986626805322E-27,1.1192737439297394E-26
38,6.611298752024694E-26,-1.0709572494530745E-26,1.3979197009487398E-26,7.118799642296474E-26,2.2204276842509488E-27,1.303246235106495E-26
39,7.550749173839763E-26,-1.2269587230984196E-26,1.5997078656729272E-26,8.127130146107481E-26,2.5735709686861403E-27,1.5120390433927635E-26
39.99999999999999,8.596709725546306E-26,-1.401692767871179E-26,1.8252868110635034E-26,9.249182839720109E-26,2.972880107426429E-27,1.7483426133646176E-26
41,9.758563407231457E-26,-1.5970414803685928E-26,2.0769791931117228E-26,1.0494869248415904E-25,3.423246634959497E-27,2.0150774610297377E-26
42,1.1046327612192309E-25,-1.815088543075302E-26,2.3573122373584747E-26,1.1874777752546963E-25,3.929942190776952E-27,2.3154130601646427E-26
42.99999999999999,1.2470705660909694E-25,-2.058103851658064E-26,2.66904456692679E-26,1.3400203019592903E-25,4.498696707503788E-27,2.652782780829987E-26
44,1.4043123049404846E-25,-2.3285878263864285E-26,3.0151769818796103E-26,1.508317788084929E-25,5.1357053102146035E-27,3.0309037238285E-26
45,1.5775772428218043E-25,-2.6292783576339916E-26,3.398995104069089E-26,1.693654171123138E-25,5.847676047584514E-27,3.453796701407715E-26
