% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:30
% Dimension:          1
% Nodes:              176
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
94.99999999999999,5.6804392408238674E-14,6.42258537427431E-15,6.29049894234221E-17,1.3123695396621187E-18,6.329119514147606E-14
96,6.229220042013872E-14,7.53642170658099E-15,7.117271992281414E-17,1.5752113671035577E-18,6.990137005800963E-14
97,6.826028507162602E-14,8.84882032493586E-15,8.068138171351588E-17,1.887150974697792E-18,7.719167392925009E-14
97.99999999999999,7.473627271762256E-14,1.0396170612369932E-14,9.166697906461269E-17,2.2563047665334554E-18,8.522636661382364E-14
98.99999999999999,8.174424370633714E-14,1.2221320956959045E-14,1.0441413194447577E-16,2.6917584307542304E-18,9.407267055367143E-14
100,8.93002597223918E-14,1.4374845696387678E-14,1.1926226735140276E-16,3.2035292077984017E-18,1.0379757121533868E-13
100.99999999999999,9.741068282325144E-14,1.6915765570416262E-14,1.3661908109467665E-16,3.802418847304044E-18,1.1446686989360969E-13
101.99999999999999,1.0606565715097339E-13,1.9912981439590578E-14,1.5696044925319165E-16,4.499800126490417E-18,1.2614009883994365E-13
103,1.1523453898337579E-13,2.34459606841438E-14,1.808424509668088E-16,5.307186000375212E-18,1.388666493044868E-13
103.99999999999999,1.2485746839043928E-13,2.760568051706573E-14,2.0889213090311877E-16,6.235664052300719E-18,1.5267827670246044E-13
104.99999999999999,1.3483821592566772E-13,3.249492640550394E-14,2.418084082261994E-16,7.295068728589041E-18,1.6758224580812645E-13
106,1.4503405890001865E-13,3.8228489554147396E-14,2.8033882859912296E-16,8.49294293771818E-18,1.835513802257029E-13
106.99999999999999,1.5524861751123968E-13,4.4931790332357895E-14,3.2524029334521253E-16,9.833369622981254E-18,2.0051548150656577E-13
107.99999999999999,1.6522289922841516E-13,5.27409036394374E-14,3.772238694649557E-16,1.1315854277751217E-17,2.1835234259159529E-13
109,1.7463533261605802E-13,6.18009845379757E-14,4.368794178826947E-16,1.2934495696215279E-17,2.3688613106761263E-13
109.99999999999999,1.831048046274223E-13,7.226850037242545E-14,5.045416579552097E-16,1.46785142864149E-17,2.5589252517208934E-13
110.99999999999999,1.9020653470910965E-13,8.431952322492933E-14,5.801807504280747E-16,1.6534575577036622E-17,2.751227732600441E-13
