% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 28 2025, 15:10
% Dimension:          1
% Nodes:              171
% Expressions:        3
% Description:        Table graph
% R (nm),F_x (N),F_y (N),F_z (N)
112.5,5.531018278734421E-25,1.1070121703222969E-26,-3.6902310921655745E-24
112.99999999999999,5.71018129329802E-25,-3.0254540705531277E-27,-3.735724107088232E-24
113.49999999999999,5.872256859211573E-25,-1.8838000503852734E-26,-3.759396417460703E-24
113.99999999999999,6.016896749602796E-25,-3.5549268482050503E-26,-3.763480404136817E-24
114.5,6.147022608507838E-25,-5.521362849384084E-26,-3.748294826938947E-24
115,6.259360293663113E-25,-7.548960403403398E-26,-3.717468210463216E-24
115.5,6.343782936725293E-25,-9.837597943579082E-26,-3.650272746181148E-24
115.99999999999999,6.401743583095655E-25,-1.2230496116288732E-25,-3.556068502256669E-24
116.49999999999999,6.434147629698183E-25,-1.4835825048360437E-25,-3.437749088253788E-24
116.99999999999999,6.435427292450495E-25,-1.7626243969639134E-25,-3.2798478810639457E-24
117.5,6.406468934177288E-25,-2.0452576485577191E-25,-3.0816130973652837E-24
118,6.343589561920552E-25,-2.3493838453276147E-25,-2.832214056578606E-24
118.5,6.237153743372896E-25,-2.6554680660870817E-25,-2.5370035170454675E-24
118.99999999999999,6.117143171429555E-25,-2.9332345159611585E-25,-2.1765311215133214E-24
119.49999999999999,5.9553675280211915E-25,-3.1710920262007485E-25,-1.741060369076518E-24
120,5.789277541347004E-25,-3.273264054562721E-25,-1.2320254886945215E-24
120.49999999999999,5.635250289741584E-25,-3.1539014198009334E-25,-6.73741391739269E-25
121,5.556785395555649E-25,-2.6902320617910605E-25,-1.278925338447473E-25
121.49999999999999,5.587942751101129E-25,-1.8725830150285736E-25,2.9366656000996844E-25
121.99999999999999,5.722665490471905E-25,-8.960601796346945E-26,4.8148888182386795E-25
122.5,5.895081183966846E-25,-6.905210830270484E-27,4.771396258656348E-25
122.99999999999999,6.00232323256235E-25,4.010591999642078E-26,3.9012654422665573E-25
123.5,6.035078650677417E-25,5.44585360441832E-26,3.325674995132535E-25
123.99999999999999,6.003028987571978E-25,4.7820541176738605E-26,3.5771163024618306E-25
124.5,5.92836974068111E-25,3.0279134644192194E-26,4.472160100758906E-25
125,5.827843660105302E-25,8.513458208505839E-27,6.147718582105189E-25
125.49999999999999,5.725344655775005E-25,-1.3115131498265633E-26,8.241689112509778E-25
126,5.6257050052772405E-25,-3.399389553618261E-26,1.0693393788967237E-24
126.49999999999999,5.546328737600845E-25,-5.269152804165997E-26,1.3382098931123485E-24
127,5.475966233223472E-25,-7.02695165823642E-26,1.624007344557115E-24
127.49999999999999,5.449558232183476E-25,-8.441891886749889E-26,1.92628947724612E-24
127.99999999999999,5.43839993245791E-25,-9.539026396400719E-26,2.2260699816312074E-24
128.5,5.480933864232207E-25,-1.0544924299291186E-25,2.5250158232690316E-24
129,5.556834487262947E-25,-1.121811855716905E-25,2.832644432715275E-24
129.5,5.690057232727685E-25,-1.1766413214332995E-25,3.1223607620570702E-24
129.99999999999997,5.873022754686454E-25,-1.204693099283018E-25,3.4096090429678676E-24
130.5,6.1123096657111795E-25,-1.1985514357060029E-25,3.682706572168311E-24
130.99999999999997,6.425009561972509E-25,-1.168968170802555E-25,3.941920200205665E-24
131.5,6.81211590610431E-25,-1.1183269176710465E-25,4.1628888396848885E-24
132,7.279200859163345E-25,-1.0492612493494818E-25,4.368021931972502E-24
132.5,7.828067013620214E-25,-9.40131287406402E-26,4.5313994162181665E-24
133,8.474768304325684E-25,-8.137524354271078E-26,4.649618498422119E-24
133.49999999999997,9.213121865160649E-25,-6.464745520673495E-26,4.721927304787949E-24
134,1.0041440402934283E-24,-4.644076139295679E-26,4.720175525091766E-24
134.5,1.0972681007047258E-24,-2.4879111289752543E-26,4.663627744528859E-24
135,1.1982407282545256E-24,-2.227268627294068E-28,4.5352043095200095E-24
135.5,1.3084499743140808E-24,2.750316418658095E-26,4.3219105440287614E-24
135.99999999999997,1.4243076982715085E-24,5.662458718558691E-26,4.017212451835074E-24
136.5,1.5459903992347275E-24,8.831825659887837E-26,3.6287558696779674E-24
136.99999999999997,1.6683808814899245E-24,1.193292816702721E-25,3.1526148717001837E-24
137.5,1.7921585516928087E-24,1.5270307269644753E-25,2.5968675509349904E-24
