% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:01
% Dimension:          1
% Nodes:              176
% Expressions:        3
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N),F_z (N)
104.99999999999999,2.5577459024250204E-25,8.56475881930619E-26,-2.326211550143659E-24
106,2.8769582077415895E-25,8.553297749727041E-26,-2.5145818075291463E-24
106.99999999999999,3.2226983445722577E-25,8.342173203625832E-26,-2.710791771521741E-24
107.99999999999999,3.592011436574013E-25,7.878898101304573E-26,-2.9107802390260818E-24
109,3.9796740148703453E-25,7.104254527576492E-26,-3.1087322797360178E-24
109.99999999999999,4.377902228118917E-25,5.955237009974223E-26,-3.2967743572332993E-24
110.99999999999999,4.776036131220631E-25,4.3664848562117254E-26,-3.465099703865557E-24
112,5.16032827567186E-25,2.2716406674111224E-26,-3.6011997278549226E-24
112.99999999999999,5.514322519129516E-25,-3.8959520962026384E-27,-3.690920713092072E-24
113.99999999999999,5.819536320909633E-25,-3.671062978831403E-26,-3.7181129530015964E-24
115,6.056482400947366E-25,-7.617587976273386E-26,-3.6649254206524265E-24
115.99999999999999,6.206173817902915E-25,-1.2260699776055717E-25,-3.5114728798138075E-24
116.99999999999999,6.250651826426929E-25,-1.7597608731987608E-25,-3.2331924154023397E-24
118,6.174923830865812E-25,-2.3493728113843177E-25,-2.7947732928708713E-24
118.99999999999999,5.9730381638377945E-25,-2.9273103231575167E-25,-2.1410931519737717E-24
120,5.68306844236128E-25,-3.231320307365286E-25,-1.2138341209516618E-24
121,5.499299765872184E-25,-2.584647853960464E-25,-1.5091041002935133E-25
121.99999999999999,5.696788060373421E-25,-7.967794175190637E-26,3.7856494829012705E-25
122.99999999999999,5.969515951339198E-25,3.849494913427495E-26,2.5736244071824033E-25
123.99999999999999,5.975447347923177E-25,4.176531344323191E-26,2.2788636586369075E-25
125,5.820387156991098E-25,2.8219930194089555E-27,4.847905160923072E-25
126,5.640921649889543E-25,-3.955734733055311E-26,9.265739615774144E-25
127,5.513247699709276E-25,-7.477888590519381E-26,1.4642616634708934E-24
127.99999999999999,5.486609591010281E-25,-1.0082537702104121E-25,2.04438454485841E-24
129,5.602808721940413E-25,-1.1759343259117205E-25,2.632049191156608E-24
129.99999999999997,5.904776925873559E-25,-1.2514446216360823E-25,3.1978071365898488E-24
130.99999999999997,6.438710386706998E-25,-1.232521438043297E-25,3.710778371901932E-24
132,7.253674930719324E-25,-1.1140876925265792E-25,4.133607754448601E-24
133,8.396504841918353E-25,-8.889979219671263E-26,4.419705116161308E-24
134,9.902147406752578E-25,-5.509546960458375E-26,4.512693627327096E-24
135,1.1777074066692581E-24,-9.893146069843602E-27,4.350949882364992E-24
135.99999999999997,1.397855885319492E-24,4.5720186814454694E-26,3.8777194239363965E-24
136.99999999999997,1.639497307867538E-24,1.091179952185268E-25,3.059054672863922E-24
138,1.8842792552805172E-24,1.757877083725853E-25,1.905424832235398E-24
139,2.109093293169818E-24,2.398452476976168E-25,4.8462662519754875E-25
140,2.2915247751562744E-24,2.9531330511262123E-25,-1.0836339148828883E-24
141,2.415856642233313E-24,3.3765933113749656E-25,-2.655285899084301E-24
141.99999999999997,2.476809001956998E-24,3.6487033916214576E-25,-4.099594628444923E-24
142.99999999999997,2.4790568707121016E-24,3.7747760393743177E-25,-5.3278590126708254E-24
144,2.4336842509201375E-24,3.7783155654859477E-25,-6.300721778547148E-24
145,2.354101118103045E-24,3.6898862204930116E-25,-7.02040620985361E-24
146,2.2527590514662323E-24,3.5398347397798617E-25,-7.514782310427227E-24
147,2.139731352297323E-24,3.353460765777191E-25,-7.822130318832054E-24
147.99999999999997,2.0223706211337737E-24,3.150073267745022E-25,-7.982208797983134E-24
148.99999999999997,1.905584247133183E-24,2.942922740269543E-25,-8.030042193897001E-24
150,1.7924042486555022E-24,2.7406299652295897E-25,-7.995070238525993E-24
151,1.684566410172689E-24,2.5485555740824237E-25,-7.899772686485832E-24
152,1.582872659064587E-24,2.3696081157239445E-25,-7.761667603257852E-24
153,1.4875996613428183E-24,2.2053373269664157E-25,-7.59377745896729E-24
153.99999999999997,1.3986523895379458E-24,2.056160092837004E-25,-7.405179522971792E-24
154.99999999999997,1.3157472301620025E-24,1.9220779659603015E-25,-7.202973648168687E-24
156,1.2384957238336796E-24,1.802904411781611E-25,-6.991905607642546E-24
157,1.1664866632306892E-24,1.6980947404078227E-25,-6.774613818684378E-24
158,1.0992857913303914E-24,1.607345954064058E-25,-6.5535730580661826E-24
159,1.036480104734718E-24,1.5303939326535364E-25,-6.3297796872857876E-24
159.99999999999997,9.776851916445737E-25,1.4671852896019898E-25,-6.103596412435906E-24
160.99999999999997,9.225351664107732E-25,1.4179433574223154E-25,-5.874839791982906E-24
162,8.706900808763784E-25,1.383216132982528E-25,-5.642723291348171E-24
163,8.218126906007189E-25,1.3640107638647407E-25,-5.405787131186063E-24
164,7.755449372133275E-25,1.3618800196388516E-25,-5.1619499751970896E-24
165,7.314704091567344E-25,1.3791973853675197E-25,-4.90796595818778E-24
165.99999999999997,6.890329072241054E-25,1.4190346291986117E-25,-4.63908050865495E-24
166.99999999999997,6.473880240883292E-25,1.4852284889455242E-25,-4.347768714082884E-24
168,6.051596341040079E-25,1.5811377639871927E-25,-4.021674789966402E-24
169,5.5997899574313755E-25,1.704683065028131E-25,-3.640054794894782E-24
170,5.082100087562102E-25,1.8312803397313665E-25,-3.166140737669636E-24
171,4.4722401621578725E-25,1.861905397276998E-25,-2.5429333032753816E-24
171.99999999999997,3.9243975618559486E-25,1.5190999254794232E-25,-1.7589448126773364E-24
172.99999999999997,4.290789598255813E-25,4.36160660732679E-26,-1.4487953614388997E-24
174,6.050004413477333E-25,-6.783098974917833E-26,-3.792839296528421E-24
175,6.272378885717818E-25,-7.430905904790215E-26,-6.233438576764068E-24
176,5.790038500742094E-25,-6.955364435743672E-26,-6.59269110405886E-24
177,5.663449218481295E-25,-6.54238854639658E-26,-6.361502731558595E-24
177.99999999999997,5.761786355681615E-25,-6.481642009271788E-26,-6.287046574510072E-24
178.99999999999997,5.934626543773593E-25,-9.253748453482535E-26,-6.77861535737276E-24
180,6.250133005347366E-25,-1.290920010019569E-25,-7.538628677237021E-24
181,6.656393312533428E-25,-1.753860048169187E-25,-8.60734320940418E-24
182,7.080111151523907E-25,-2.3276553150830576E-25,-9.994972027803838E-24
183,7.423007007978908E-25,-2.9796518851220475E-25,-1.1602283826524746E-23
183.99999999999997,7.577701617391264E-25,-3.625884192800259E-25,-1.320690085917983E-23
184.99999999999997,7.474982372130202E-25,-4.154225155215162E-25,-1.451945167547474E-23
