% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
90,8.701909964033099E-32,-3.46180809334876E-32,3.256796665217877E-32,9.254345307753724E-32,-4.8178835398858805E-32,-3.70506048065989E-32
91,9.117282326191601E-32,-3.755258030323052E-32,3.5428817204064155E-32,9.703107536591953E-32,-5.045920922593562E-32,-3.677724736984652E-32
91.99999999999999,9.544855247169464E-32,-4.076482701861783E-32,3.8568038133954673E-32,1.0165986943511567E-31,-5.273800207699952E-32,-3.638057188251969E-32
93,9.983620104804896E-32,-4.42824805073248E-32,4.2013924881568464E-32,1.0642084904503358E-31,-5.500605417907142E-32,-3.586019070804789E-32
94,1.0432169580532658E-31,-4.8135463682025625E-32,4.579714357693686E-32,1.1130121239833399E-31,-5.725205534892673E-32,-3.521570734567907E-32
94.99999999999999,1.0888624802475488E-31,-5.235579379368301E-32,4.995059873929043E-32,1.1628336148553355E-31,-5.946565500603622E-32,-3.44488365766374E-32
96,1.1350517972984062E-31,-5.697739402616834E-32,5.450926358132449E-32,1.2134396092269346E-31,-6.16362416413245E-32,-3.356336330366889E-32
97,1.1814677201964497E-31,-6.203565840701122E-32,5.950974687812853E-32,1.2645275588091735E-31,-6.375440923328189E-32,-3.256110772086718E-32
97.99999999999999,1.2277078328527858E-31,-6.756634732673545E-32,6.498940000206479E-32,1.315707713534682E-31,-6.580849459924327E-32,-3.1450396438915477E-32
98.99999999999999,1.2732694681907395E-31,-7.3605029574607E-32,7.09853883869359E-32,1.3664916528280425E-31,-6.779303799170128E-32,-3.023461909987284E-32
100,1.3175317875929814E-31,-8.018478805602405E-32,7.753294584847222E-32,1.41627139332735E-31,-6.969726949320564E-32,-2.892168056627897E-32
100.99999999999999,1.3597381784817656E-31,-8.733393878650204E-32,8.46625787177154E-32,1.4643020975652276E-31,-7.151719961801717E-32,-2.7518702747176E-32
101.99999999999999,1.398981732350522E-31,-9.507272675153046E-32,9.239721372497799E-32,1.5096871248636235E-31,-7.324553332232258E-32,-2.603340637497368E-32
103,1.4341910722097895E-31,-1.0340879720758882E-31,1.0074743075072223E-31,1.5513618404235644E-31,-7.487890003812037E-32,-2.4475138017617444E-32
103.99999999999999,1.4641270492429027E-31,-1.1233148313949906E-31,1.097058665870162E-31,1.588092533897928E-31,-7.641244725323166E-32,-2.2851556592575548E-32
104.99999999999999,1.4873938225412436E-31,-1.218046652378572E-31,1.1923986050296364E-31,1.6184812125731574E-31,-7.784441020686596E-32,-2.1171394423409623E-32
