% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
135.99999999999997,5.387494865741324E-31,3.95619516680033E-31,-9.780075168079984E-32,-7.307960905452683E-31,-2.7693155520765955E-32,-8.229293304107814E-32
136.5,5.815531241224419E-31,3.8241279011541947E-31,-1.4092544910683157E-31,-7.532903648850906E-31,-2.842890749387282E-32,-8.205877597817504E-32
136.99999999999997,6.239241618560594E-31,3.6346104881970924E-31,-1.8807691582173221E-31,-7.710347568415301E-31,-2.916543353292179E-32,-8.181753296755559E-32
137.5,6.648180950483091E-31,3.3869086162929886E-31,-2.38507940058358E-31,-7.831789648607149E-31,-2.990322083538351E-32,-8.156893965232149E-32
138,7.0314649069028835E-31,3.0827739725465214E-31,-2.912483489974764E-31,-7.890303239427314E-31,-3.064239322680758E-32,-8.131305142438929E-32
138.5,7.378542257306823E-31,2.726602982608758E-31,-3.4515241423401264E-31,-7.881249149910773E-31,-3.138319357334624E-32,-8.104994860017159E-32
139,7.680002898933583E-31,2.325319207133459E-31,-3.9896995531469195E-31,-7.802800051827041E-31,-3.212605184621167E-32,-8.077940463070596E-32
139.49999999999997,7.928285749855338E-31,1.8879777613515498E-31,-4.514308125966428E-31,-7.6561739882039424E-31,-3.2871186748391987E-32,-8.050146519808877E-32
140,8.11824588451963E-31,1.4251072184505901E-31,-5.013385981441366E-31,-7.445559735917541E-31,-3.3618849132175373E-32,-8.021594217138057E-32
140.5,8.247437044294606E-31,9.479322918428382E-32,-5.476515140394011E-31,-7.177734245171929E-31,-3.4369233756282524E-32,-7.992275690354894E-32
141,8.31612436177634E-31,4.67553075915723E-32,-5.8954580937313695E-31,-6.861441668208659E-31,-3.512286154088012E-32,-7.962166373916585E-32
141.5,8.326992600903318E-31,-5.774713929357438E-34,-6.26447979069354E-31,-6.506616790647006E-31,-3.5879937868704315E-32,-7.931260355217855E-32
141.99999999999997,8.284667854038609E-31,-4.632065465402997E-32,-6.580411698797603E-31,-6.123585308153017E-31,-3.6640629477536486E-32,-7.899549613066142E-32
142.5,8.195163521680817E-31,-8.976572868815726E-32,-6.842491639055502E-31,-5.722375704108467E-31,-3.74054218807558E-32,-7.866999182846177E-32
142.99999999999997,8.065266409196383E-31,-1.3038805557121448E-31,-7.051949779354263E-31,-5.31218971969497E-31,-3.8174448456879715E-32,-7.833604141847074E-32
