% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
1.6818627337399903,-5.374400604688933E-23,-8.498428823621623E-24,-8.744431663093066E-24,2.2159348827100448E-23,2.319518662029911E-23,-1.219181762835318E-23
1.71359599286716,-5.396416824593532E-23,-5.3633158436805484E-24,-8.901816079329132E-24,2.2558178198029242E-23,2.2377593280631153E-23,-1.3465549422021712E-23
1.7453292519943295,-5.395080918441558E-23,-2.382270295613215E-24,-9.093561316739384E-24,2.3044081658129898E-23,2.151420182252821E-23,-1.46125715785374E-23
1.7770625111214993,-5.373059938706937E-23,4.1010278063559935E-25,-9.316800673285904E-24,2.360979467004913E-23,2.06252714069302E-23,-1.5627202773208327E-23
1.8087957702486688,-5.333308078358872E-23,2.9896782910787097E-24,-9.568465520493028E-24,2.4247540992696874E-23,1.972915259003903E-23,-1.6508634258315216E-23
1.8405290293758385,-5.2788204995479935E-23,5.342008847334097E-24,-9.845404645679232E-24,2.4949335107546938E-23,1.8841567912175923E-23,-1.7259911428857268E-23
1.872262288503008,-5.212448665945219E-23,7.46091073727307E-24,-1.0144481570730614E-23,2.5707228835085825E-23,1.797530606104364E-23,-1.7886856267020734E-23
1.9039955476301778,-5.136780467814346E-23,9.346787406206941E-24,-1.0462647855943573E-23,2.651349709478404E-23,1.714024174498416E-23,-1.8397074985791256E-23
1.9357288067573473,-5.054077310432661E-23,1.1004956906222218E-23,-1.0796993720771065E-23,2.736076618362474E-23,1.6343574337623513E-23,-1.879913120027716E-23
1.967462065884517,-4.966255113554756E-23,1.2444150851049385E-23,-1.1144779243365625E-23,2.824209283915954E-23,1.5590186670405073E-23,-1.9101911729362652E-23
1.9991953250116865,-4.874895397862716E-23,1.3675265823311164E-23,-1.1503450161582761E-23,2.9151004280991584E-23,1.4883047299244382E-23,-1.9314176479138784E-23
2.0309285841388562,-4.781274435829023E-23,1.4710385759044716E-23,-1.1870642257704074E-23,3.008150932214231E-23,1.4223604497466556E-23,-1.9444264947244808E-23
2.0626618432660258,-4.6864012647411145E-23,1.5562055992788504E-23,-1.2244177821342863E-23,3.10280894056643E-23,1.361214200984919E-23,-1.9499925397666365E-23
2.0943951023931957,-4.59105820863932E-23,1.6242771278765098E-23,-1.2622057017354625E-23,3.1985676729979314E-23,1.3048082889561537E-23,-1.9488233866647383E-23
2.126128361520365,-4.495839947593215E-23,1.67646347980731E-23,-1.3002446307439943E-23,3.294962490795761E-23,1.2530238500563217E-23,-1.9415574997616192E-23
2.1578616206475347,-4.4011889611347125E-23,1.7139147372742612E-23,-1.33836654741211E-23,3.3915676084242935E-23,1.2057006035846707E-23,-1.928766270533593E-23
2.1895948797747042,-4.3074263956571424E-23,1.737709185797288E-23,-1.3764174307937798E-23,3.487992719914713E-23,1.1626520967839477E-23,-1.910958441046083E-23
2.221328138901874,-4.214778175291712E-23,1.748848448976496E-23,-1.4142559644946993E-23,3.583879714025859E-23,1.1236771859425352E-23,-1.8885857429134287E-23
2.2530613980290437,-4.1233966163318344E-23,1.748257147278354E-23,-1.45175231683175E-23,3.678899583034296E-23,1.0885684791353651E-23,-1.8620489882971986E-23
2.284794657156213,-4.0333780242737916E-23,1.7367854692681467E-23,-1.4887870195895498E-23,3.7727495813802905E-23,1.0571183895210728E-23,-1.8317041286957612E-23
2.3165279162833827,-3.944776832281733E-23,1.7152134954165375E-23,-1.5252499545995394E-23,3.865150657548145E-23,1.029123348854415E-23,-1.7978679946232277E-23
2.3482611754105527,-3.8576168384302843E-23,1.684256463234101E-23,-1.5610394489837538E-23,3.9558451613147254E-23,1.004386629941239E-23,-1.7608235634454715E-23
2.379994434537722,-3.7719000548270496E-23,1.6445704228250633E-23,-1.5960614747668787E-23,4.0445948154787306E-23,9.827201347310173E-24,-1.720824690409946E-23
2.4117276936648917,-3.687613618708293E-23,1.5967579212965976E-23,-1.6302289456598628E-23,4.1311789338329063E-23,9.639454259033409E-24,-1.6781002928633134E-23
2.443460952792061,-3.6047351479505986E-23,1.5413734890670328E-23,-1.663461102408837E-23,4.215392863571337E-23,9.478942149356131E-24,-1.6328580101417978E-23
2.475194211919231,-3.523236858845376E-23,1.478928794779706E-23,-1.6956829776606238E-23,4.29704662919931E-23,9.344084677346485E-24,-1.5852873791819905E-23
2.5069274710464007,-3.443088706116905E-23,1.4098973992825002E-23,-1.7268249314454108E-23,4.375963755395901E-23,9.233402482219139E-24,-1.5355625738533288E-23
