% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
124.5,1.3098852256682019E-23,8.243361468247191E-23,6.532220479001405E-23,5.0234318675983997E-23,-1.2129022158790593E-22,2.2155283944476255E-23
125,1.7272839573816695E-23,8.258263440473243E-23,6.825527507316511E-23,4.7506811635685635E-23,-1.084339387335361E-22,2.906337580852006E-23
125.49999999999999,2.1511441841606576E-23,8.250921248952309E-23,7.107709977494423E-23,4.4589990258804615E-23,-9.73988676123625E-23,3.304400716789244E-23
126,2.5810859062516822E-23,8.220842165143015E-23,7.378235075285156E-23,4.148379206360874E-23,-8.809346413273591E-23,3.51981537744814E-23
126.49999999999999,3.016800270950785E-23,8.167345245978829E-23,7.636500069036723E-23,3.8186378652717447E-23,-8.027992691007223E-23,3.6221504610430166E-23
127,3.457990225391551E-23,8.08954392568438E-23,7.881777186011556E-23,3.469438236122154E-23,-7.370437772183004E-23,3.654738661662128E-23
127.49999999999999,3.9043468750930455E-23,7.986313088879947E-23,8.113178832377994E-23,3.1002888822406987E-23,-6.814078591388023E-23,3.6445583365503596E-23
127.99999999999999,4.3554681298971234E-23,7.856249362031366E-23,8.329575339501702E-23,2.7105665207062256E-23,-6.340157930392293E-23,3.60850754445599E-23
128.5,4.810816943981323E-23,7.697666582746625E-23,8.52956388337819E-23,2.2995448292114077E-23,-5.933548782726818E-23,3.557253141820274E-23
129,5.269616314690264E-23,7.508569346758745E-23,8.7113828713748E-23,1.866442526114653E-23,-5.582190645590774E-23,3.497569172719432E-23
129.5,5.73079417639845E-23,7.286676284266777E-23,8.872888452261465E-23,1.4104788691333416E-23,-5.276476250285833E-23,3.433782790724921E-23
129.99999999999997,6.192847387114985E-23,7.029393396322044E-23,9.011449556641156E-23,9.309409011175386E-24,-5.0087506947915827E-23,3.3686468596531915E-23
130.5,6.653743561491502E-23,6.733894309609165E-23,9.123932836483378E-23,4.273037678219486E-24,-4.7728769297818767E-23,3.3039111719620414E-23
130.99999999999997,7.110790157937922E-23,6.397134568750804E-23,9.206628822972981E-23,-1.0067549998720896E-24,-4.5638986321294287E-23,3.240661721757538E-23
131.5,7.560513217687264E-23,6.016002843533428E-23,9.255267626382522E-23,-6.5277799418794034E-24,-4.3777945721584156E-23,3.179563276758009E-23
132,7.998488263679933E-23,5.587429376489912E-23,9.264977489972593E-23,-1.2281430197597868E-23,-4.211271139895573E-23,3.1209899605346805E-23
132.5,8.419212053604072E-23,5.108543245361427E-23,9.230309880644732E-23,-1.82508257276862E-23,-4.061619225269163E-23,3.065124413252811E-23
133,8.816018826297455E-23,4.5770041088038834E-23,9.145391425375797E-23,-2.4408037331450242E-23,-3.9265860198031376E-23,3.012029420943762E-23
133.49999999999997,9.181095724479061E-23,3.9913623028041004E-23,9.00416930927314E-23,-3.071182442344426E-23,-3.804295596809274E-23,2.9617046593889907E-23
134,9.505395009614797E-23,3.351327792626574E-23,8.80053400753538E-23,-3.710532851331117E-23,-3.693166663800604E-23,2.914081815061637E-23
134.5,9.778843592453011E-23,2.658307654819534E-23,8.528802778476193E-23,-4.3513890406527033E-23,-3.5918691341431714E-23,2.869068064033687E-23
135,9.990635794668301E-23,1.915821453381597E-23,8.184182461898922E-23,-4.984420307712689E-23,-3.4992635360688694E-23,2.826547227175386E-23
135.5,1.0129738253874758E-22,1.129955914545895E-23,7.763396829358117E-23,-5.598461486487438E-23,-3.4143823406987225E-23,2.7864002174650757E-23
135.99999999999997,1.0185535882066758E-22,3.0964103242315204E-24,7.265291715092572E-23,-6.180750770883263E-23,-3.336390134891318E-23,2.7485010777084636E-23
136.5,1.0148695388812317E-22,-5.332124425101392E-24,6.691490722912539E-23,-6.717401654991031E-23,-3.264569442389246E-23,2.712726432961259E-23
136.99999999999997,1.0012077093252512E-22,-1.383909552190642E-23,6.046868652639827E-23,-7.194123799649418E-23,-3.198294467831222E-23,2.678952617019343E-23
137.5,9.771736223870345E-23,-2.2255212818965575E-23,5.33985044090558E-23,-7.597233770362286E-23,-3.137019589393049E-23,2.647063988222764E-23
138,9.427627480926469E-23,-3.039675280280174E-23,4.582360976323366E-23,-7.914636756078735E-23,-3.080269718913165E-23,2.6169486233677074E-23
138.5,8.984128450248731E-23,-3.807786206461694E-23,3.7893693288467415E-23,-8.136972491230086E-23,-3.0276267184506284E-23,2.588500501488113E-23
139,8.450091540733855E-23,-4.512426051583159E-23,2.978031936863755E-23,-8.258549162753212E-23,-2.978719509960854E-23,2.5616205032349735E-23
139.49999999999997,7.838374276955131E-23,-5.1385708097435495E-23,2.1665739255180838E-23,-8.277859260041058E-23,-2.933226538728338E-23,2.5362173610075953E-23
140,7.164936694466539E-23,-5.674750126543175E-23,1.3729490617150808E-23,-8.197747739487896E-23,-2.890852917250623E-23,2.5122009230128274E-23
140.5,6.447652892601837E-23,-6.113715546499044E-23,6.136237919520699E-24,-8.025078245232915E-23,-2.851343085969855E-23,2.4894899420957563E-23
141,5.704984939632631E-23,-6.452715312033353E-23,-9.747304862214184E-25,-7.770050600836819E-23,-2.8144651667083747E-23,2.4680093359903883E-23
141.5,4.954690058814893E-23,-6.693192539913613E-23,-7.4960396294224E-24,-7.445164806992189E-23,-2.780014692653991E-23,2.4476893898498075E-23
141.99999999999997,4.212761521059668E-23,-6.840191412161803E-23,-1.3355321950572967E-23,-7.064141330058689E-23,-2.747804243431718E-23,2.4284614984482555E-23
142.5,3.492717649954428E-23,-6.90156728623839E-23,-1.8514747560059756E-23,-6.6409369588875E-23,-2.7176682187694316E-23,2.4102668160043947E-23
142.99999999999997,2.805260799541016E-23,-6.886954350959819E-23,-2.2966569600856742E-23,-6.188849454733819E-23,-2.6894538323039323E-23,2.393045415457116E-23
143.5,2.1581972978495862E-23,-6.806961351926383E-23,-2.672841723648554E-23,-5.719932471344875E-23,-2.663026610225931E-23,2.3767454372100884E-23
144,1.5566311360644557E-23,-6.672389921231626E-23,-2.983692841944296E-23,-5.244609871970533E-23,-2.6382610887670423E-23,2.3613180012942943E-23
144.5,1.0033403861980039E-23,-6.493617336353893E-23,-3.2341291639246785E-23,-4.771515607960249E-23,-2.615045729907659E-23,2.3467152860578462E-23
145,4.991294722994946E-24,-6.280245129804703E-23,-3.429860467613817E-23,-4.307489808571846E-23,-2.5932768306977718E-23,2.3328946860157698E-23
145.49999999999997,4.332998744344591E-25,-6.040861296705205E-23,-3.576908088426057E-23,-3.857748068717261E-23,-2.572861644592487E-23,2.319817193342523E-23
146,-3.6582613587555464E-24,-5.78287541180802E-23,-3.6812491674991223E-23,-3.4260194873364895E-23,-2.5537124305542794E-23,2.307443158099433E-23
146.5,-7.308240180363898E-24,-5.512590595211044E-23,-3.748614755908403E-23,-3.0148375031512276E-23,-2.5357542429234743E-23,2.2957370443018118E-23
147,-1.0546812882060882E-23,-5.235252713583909E-23,-3.7843972348021197E-23,-2.625693523385533E-23,-2.5189132002973647E-23,2.2846693759864336E-23
147.5,-1.3405916417790386E-23,-4.955084686476903E-23,-3.793441151412796E-23,-2.259294032802379E-23,-2.5031242439054024E-23,2.2742078108939652E-23
147.99999999999997,-1.59185718785078E-23,-4.67544681494511E-23,-3.7801000994895716E-23,-1.915707223839299E-23,-2.4883241537319638E-23,2.264325284949016E-23
148.5,-1.811660744632825E-23,-4.3989878096582176E-23,-3.748190498831386E-23,-1.5946118281331635E-23,-2.4744597021281643E-23,2.2549934785886497E-23
148.99999999999997,-2.0031238401425163E-23,-4.1276955845418683E-23,-3.7010553837448337E-23,-1.2952909485332065E-23,-2.4614766915786272E-23,2.2461893965591787E-23
149.5,-2.1691312335632767E-23,-3.863047753628724E-23,-3.641552753234477E-23,-1.0168477884365198E-23,-2.4493282192783735E-23,2.237888438829057E-23
150,-2.3123718824746837E-23,-3.606115133703185E-23,-3.5721479431443966E-23,-7.58244079750151E-24,-2.4379700084189856E-23,2.2300703555134892E-23
150.5,-2.4353004828743036E-23,-3.3576173163424016E-23,-3.494923786012569E-23,-5.1836403455230405E-24,-2.427361607168659E-23,2.222715186581895E-23
151,-2.540146650174922E-23,-3.1179991615498566E-23,-3.411637087189712E-23,-2.960577573639223E-24,-2.417463528846829E-23,2.2158028378318424E-23
151.49999999999997,-2.6289239197982273E-23,-2.887496520956076E-23,-3.323766795804979E-23,-9.017793226720634E-25,-2.4082423791057844E-23,2.209317692177705E-23
152,-2.7034271184058265E-23,-2.666188158698423E-23,-3.232547289270139E-23,1.0038278963886914E-24,-2.3996645855330878E-23,2.2032427684720386E-23
152.5,-2.765271280569116E-23,-2.454028233116719E-23,-3.1390135588287325E-23,2.766974973741842E-24,-2.3917009121644024E-23,2.1975647093838058E-23
153,-2.8158778122510745E-23,-2.2508534311430137E-23,-3.0439972446884546E-23,4.397884713443605E-24,-2.3843208795871112E-23,2.192266422555595E-23
153.5,-2.856526963189627E-23,-2.0564592473795994E-23,-2.948211144932455E-23,5.906152405930658E-24,-2.3775006622991613E-23,2.187339114728483E-23
153.99999999999997,-2.8883382159976537E-23,-1.8705843774559196E-23,-2.8522262590514206E-23,7.300680694979814E-24,-2.3712144685263452E-23,2.1827696139389492E-23
154.5,-2.91230012551928E-23,-1.6929307789005297E-23,-2.7565041779349473E-23,8.5897645783655E-24,-2.3654405014934437E-23,2.1785473685495696E-23
