% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:25
% Dimension:          1
% Nodes:              100
% Expressions:        2
% Description:        Table graph
% psi,F_x (N),F_y (N)
1.9991953250116865,5.353123584531323E-25,9.750484736903206E-26
2.0309285841388562,5.280390346247575E-25,1.0456671865495192E-25
2.0626618432660258,5.204055853279674E-25,1.1106306296957322E-25
2.0943951023931957,5.124427477688702E-25,1.169677218272385E-25
2.126128361520365,5.041825854839067E-25,1.2225691925070957E-25
2.1578616206475347,4.956583592312132E-25,1.2690935750873071E-25
2.1895948797747042,4.869043930613398E-25,1.3090630287453014E-25
2.221328138901874,4.779559361063894E-25,1.3423166105980348E-25
2.2530613980290437,4.688490206442289E-25,1.3687204202078357E-25
2.284794657156213,4.59620317009181E-25,1.388168138752659E-25
2.3165279162833827,4.503069859335582E-25,1.400581457133973E-25
2.3482611754105527,4.409465289145644E-25,1.405910391299588E-25
2.379994434537722,4.315766372088681E-25,1.4041334835125604E-25
2.4117276936648917,4.222350400633442E-25,1.3952578887532865E-25
2.443460952792061,4.129593527925839E-25,1.3793193459095464E-25
2.475194211919231,4.037869253155307E-25,1.356382033867675E-25
2.5069274710464007,3.947546917601933E-25,1.3265383130879255E-25
2.53866073017357,3.8589902174323073E-25,1.2899083537005208E-25
2.57039398930074,3.772555739223256E-25,1.2466396516237469E-25
2.6021272484279097,3.6885915241110175E-25,1.1969064346492953E-25
2.633860507555079,3.607435666356115E-25,1.140908960889091E-25
2.6655937666822487,3.5294149519537807E-25,1.0788727124057113E-25
2.6973270258094186,3.4548435427839953E-25,1.0110474872768467E-25
2.729060284936588,3.3840217115923566E-25,9.377063937454283E-26
2.7607935440637577,3.317234632896208E-25,8.591447505097479E-26
2.792526803190927,3.2547512346900094E-25,7.756788975794072E-26
2.824260062318097,3.1968231155649928E-25,6.876449224852678E-26
2.8559933214452666,3.1436835316116887E-25,5.953973069742866E-26
2.887726580572436,3.095546457179118E-25,4.993074996356436E-26
2.9194598396996057,3.052605723276476E-25,3.9976242020905787E-26
2.9511930988267756,3.0150342370833877E-25,2.971629015958341E-26
2.982926357953945,2.98298328571421E-25,1.9192207584550468E-26
3.0146596170811146,2.9565819270380973E-25,8.446371061908184E-27
3.0463928762082846,2.93593647000811E-25,-2.4779497173045895E-27
3.078126135335454,2.921130046593111E-25,-1.3536766368999616E-26
3.1098593944626236,2.9122222770337104E-25,-2.4685548941678178E-26
3.141592653589793,2.9092490297748806E-25,-3.587940522279995E-26
