% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        2
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N)
107.49999999999999,3.609929435138217E-25,8.658108856289694E-26
107.99999999999999,3.8090762753196887E-25,9.411523971295981E-26
108.5,4.0128606681464714E-25,1.0230336852893953E-25
109,4.220309311586191E-25,1.1116009293471905E-25
109.5,4.430118174973508E-25,1.2071895971238688E-25
109.99999999999999,4.6408443021399575E-25,1.3098620983288638E-25
110.49999999999999,4.85088028679203E-25,1.419654915836715E-25
110.99999999999999,5.058317321795324E-25,1.536586059909365E-25
111.5,5.261108121961152E-25,1.6604753592320868E-25
112,5.456981177550653E-25,1.7911031239827879E-25
112.5,5.643562011589988E-25,1.927900127134965E-25
112.99999999999999,5.818347959807637E-25,2.0702635588652383E-25
113.49999999999999,5.978674904618089E-25,2.217455462845536E-25
113.99999999999999,6.122036828620974E-25,2.3683846888092454E-25
114.5,6.24575112821409E-25,2.5217304050072967E-25
115,6.347327637868828E-25,2.675756420141989E-25
115.5,6.424455026798216E-25,2.8283348420779006E-25
115.99999999999999,6.474851109847924E-25,2.9766421855019932E-25
116.49999999999999,6.496549821973184E-25,3.116902769917976E-25
116.99999999999999,6.487669880289186E-25,3.243847523636646E-25
117.5,6.446899721268381E-25,3.3497897680037664E-25
118,6.3731147661963845E-25,3.4233091740481417E-25
118.5,6.266397379399372E-25,3.446806926860851E-25
118.99999999999999,6.1286408110449575E-25,3.393195341053812E-25
119.49999999999999,5.966159696654932E-25,3.221752581790691E-25
120,5.79405788466231E-25,2.8764195998571036E-25
120.49999999999999,5.64324079597926E-25,2.2985004631491547E-25
121,5.563588676072816E-25,1.476076218617106E-25
121.49999999999999,5.604382838959161E-25,5.355865097296775E-26
121.99999999999999,5.763101629412067E-25,-2.329345954847054E-26
122.5,5.960380152339214E-25,-5.705857823585256E-26
122.99999999999999,6.103660712049591E-25,-4.7097796499245795E-26
123.5,6.156365621223512E-25,-1.1271453625892247E-26
123.99999999999999,6.131715647647866E-25,3.28791669548074E-26
124.5,6.05821555235118E-25,7.544697372853246E-26
125,5.961020609087919E-25,1.1255407817903223E-25
125.49999999999999,5.858328392540673E-25,1.4337442008422538E-25
126,5.762396684150046E-25,1.682709708076832E-25
126.49999999999999,5.682443626578497E-25,1.8798782168238419E-25
127,5.62535665541564E-25,2.0325131501432532E-25
127.49999999999999,5.597051673200871E-25,2.1469241695691583E-25
127.99999999999999,5.603040559079683E-25,2.2281848823423523E-25
128.5,5.648580633402805E-25,2.280031734095591E-25
129,5.739193648420499E-25,2.305366315371125E-25
129.5,5.88035119754508E-25,2.3062876576644528E-25
129.99999999999997,6.078307751096358E-25,2.284200702764883E-25
130.5,6.338852595797818E-25,2.2399499186553877E-25
130.99999999999997,6.668616136173954E-25,2.174072488886747E-25
131.5,7.073892453053346E-25,2.0867582524680814E-25
132,7.560876762826558E-25,1.9780727710684438E-25
132.5,8.135381833654385E-25,1.8478941769959126E-25
133,8.802224641003843E-25,1.696238751766106E-25
133.49999999999997,9.564828448830826E-25,1.5232853330834008E-25
134,1.0424058676015378E-24,1.3295964434281194E-25
134.5,1.1378839442894147E-24,1.116006944579877E-25
135,1.2423252254293436E-24,8.843484989322562E-26
135.5,1.3548166817193642E-24,6.369128413508208E-26
135.99999999999997,1.4738570286924826E-24,3.7701210818142395E-26
136.5,1.5974571872059748E-24,1.0898515077126922E-26
136.99999999999997,1.723192999707974E-24,-1.6218962385911113E-26
137.5,1.8481326972984232E-24,-4.3055591148592024E-26
138,1.9692051482644758E-24,-6.901400012605865E-26
138.5,2.083156276491662E-24,-9.344925691776172E-26
139,2.187023612320328E-24,-1.1581864812283324E-25
139.49999999999997,2.2781673554647666E-24,-1.35617836293406E-25
140,2.354559911004449E-24,-1.524817581776667E-25
140.5,2.414881384212388E-24,-1.6618643268231383E-25
141,2.4585809502423712E-24,-1.7666263288139364E-25
141.5,2.485839238496775E-24,-1.8397438915770853E-25
141.99999999999997,2.4974052297363602E-24,-1.8828098225319078E-25
142.5,2.494606780210234E-24,-1.898820035614182E-25
142.99999999999997,2.479003454097018E-24,-1.8906784600147834E-25
143.5,2.4523734581181712E-24,-1.8623495248635235E-25
144,2.416518894932644E-24,-1.8171075283819282E-25
144.5,2.373221662709735E-24,-1.7584817339495777E-25
145,2.324099012161725E-24,-1.689655973167233E-25
145.49999999999997,2.2705915635930496E-24,-1.6132555157563623E-25
146,2.213992968864903E-24,-1.5318977412220251E-25
146.5,2.1553555429795907E-24,-1.4474269099938095E-25
147,2.09559574994851E-24,-1.3616574993260054E-25
147.5,2.0354341035442245E-24,-1.275890008657053E-25
147.99999999999997,1.9754497059725966E-24,-1.1911906527840731E-25
148.5,1.916103501040361E-24,-1.1083884102889298E-25
148.99999999999997,1.857735736130135E-24,-1.0281122690287247E-25
