% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        2
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N)
136.5,1.5974571872064937E-24,-7.768493663291542E-26
136.99999999999997,1.7231929997077028E-24,-1.101668594585653E-25
137.5,1.8481326973007243E-24,-1.4322112810231985E-25
138,1.9692051482652994E-24,-1.7608499041881197E-25
138.5,2.0831562764901047E-24,-2.079443378314404E-25
139,2.1870236123211387E-24,-2.3803368596545034E-25
139.49999999999997,2.278167355491427E-24,-2.656271839485185E-25
140,2.3545599110043318E-24,-2.9013775170633773E-25
140.5,2.4148813842125968E-24,-3.111377478856837E-25
141,2.4585809502203972E-24,-3.283872045505405E-25
141.5,2.4858392384835985E-24,-3.4181429301877344E-25
141.99999999999997,2.497405229724766E-24,-3.5149031655148323E-25
142.5,2.494606780203103E-24,-3.5766378440673955E-25
142.99999999999997,2.4790034540915984E-24,-3.6061278216048757E-25
143.5,2.4523734581179993E-24,-3.6075617521224857E-25
144,2.4165188949391358E-24,-3.5846109223841377E-25
144.5,2.3732216627188955E-24,-3.5413756879653325E-25
145,2.32409901216137E-24,-3.4817391171681944E-25
145.49999999999997,2.2705915635898303E-24,-3.408967200931293E-25
146,2.2139929688734784E-24,-3.3264569944021885E-25
146.5,2.155355542979573E-24,-3.236690139599823E-25
147,2.0955957499479337E-24,-3.1421376573784196E-25
147.5,2.0354341035437885E-24,-3.0446583092363754E-25
147.99999999999997,1.9754497059773985E-24,-2.9458211622414477E-25
148.5,1.916103501041622E-24,-2.8468853225276356E-25
148.99999999999997,1.8577357361302983E-24,-2.7488880172427664E-25
149.5,1.80060612738451E-24,-2.652662701793206E-25
150,1.7448950651427865E-24,-2.558642039269049E-25
150.5,1.690737109102173E-24,-2.467517878763907E-25
151,1.6382092421229827E-24,-2.3794033507358645E-25
151.49999999999997,1.5873463081481764E-24,-2.2946631948761966E-25
152,1.5381636137177362E-24,-2.2134048584895164E-25
152.5,1.4906615667267676E-24,-2.1357610758982095E-25
153,1.444808945633257E-24,-2.061775582821237E-25
153.5,1.4005677053643463E-24,-1.9913891598281515E-25
153.99999999999997,1.3578952740603469E-24,-1.9246815902439619E-25
154.5,1.3167360308158825E-24,-1.8615403785179247E-25
154.99999999999997,1.2770394025166624E-24,-1.8019726132810856E-25
155.5,1.2387402002883566E-24,-1.745937234992998E-25
156,1.201789362398857E-24,-1.6933377913705898E-25
156.5,1.1661228714247057E-24,-1.6441448036517558E-25
157,1.1316872090151498E-24,-1.5983027300200287E-25
157.49999999999997,1.0984241004334519E-24,-1.555763851419677E-25
158,1.0662770894112202E-24,-1.5165074115591915E-25
158.5,1.0351985286003038E-24,-1.480491856722884E-25
159,1.0051332471794682E-24,-1.447726597874755E-25
159.5,9.760409507882045E-25,-1.4181801770867674E-25
159.99999999999997,9.47863668355903E-25,-1.3918841357890729E-25
160.5,9.205632829422203E-25,-1.3689097306779437E-25
160.99999999999997,8.9409611114939E-25,-1.3492450630260024E-25
161.5,8.684221049298074E-25,-1.3330193829824782E-25
162,8.434952710000803E-25,-1.3202832706821337E-25
162.5,8.192803248451147E-25,-1.3112236214970614E-25
163,7.957318563852909E-25,-1.305952427655638E-25
163.49999999999997,7.728038587364211E-25,-1.3046877358787656E-25
164,7.50457772043355E-25,-1.3076467838646229E-25
164.49999999999997,7.2863453727848365E-25,-1.3151161434223017E-25
165,7.072823649315683E-25,-1.3274116900955003E-25
