% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
125.49999999999999,-4.31319372624004E-23,7.355371006101034E-23,7.107709977494533E-23,4.4589990258800924E-23,-9.223704131458514E-23,-4.550575822259732E-23
126,-3.9879098949020667E-23,7.638116589172308E-23,7.378235075284957E-23,4.148379206361235E-23,-8.718033908565437E-23,-3.740263264728926E-23
126.49999999999999,-3.6419852786489696E-23,7.908385136797993E-23,7.636500069036881E-23,3.818637865271878E-23,-8.237895224608753E-23,-3.115400917645797E-23
127,-3.2750030289044715E-23,8.165339704208759E-23,7.881777186011411E-23,3.469438236120628E-23,-7.795977020149928E-23,-2.6273960378980506E-23
127.49999999999999,-2.8863859903430057E-23,8.407966293309233E-23,8.113178832378855E-23,3.100288882240422E-23,-7.395373093713167E-23,-2.2411892653037175E-23
127.99999999999999,-2.4754261486937015E-23,8.634988248477716E-23,8.329575339502915E-23,2.7105665207066347E-23,-7.034768821021737E-23,-1.931568511726403E-23
128.5,-2.041310955834543E-23,8.844833524110493E-23,8.529563883378968E-23,2.2995448292090717E-23,-6.711010399745645E-23,-1.6802947617890826E-23
129,-1.5831788717353396E-23,9.035541732469328E-23,8.711382871374234E-23,1.8664425261164993E-23,-6.420359739072414E-23,-1.4740499796745614E-23
129.5,-1.1001747891998885E-23,9.204741636632729E-23,8.872888452261852E-23,1.4104788691326146E-23,-6.159083233790106E-23,-1.302981040903617E-23
129.99999999999997,-5.9152735588614914E-24,9.349536120450404E-23,9.01144955664191E-23,9.309409011186213E-24,-5.923714619443479E-23,-1.1597285436764169E-23
130.5,-5.667513751079907E-25,9.466489522725153E-23,9.123932836482945E-23,4.2730376782175476E-24,-5.711151636949897E-23,-1.0387156486852243E-23
130.99999999999997,5.046307065458299E-24,9.551545173999343E-23,9.206628822972399E-23,-1.0067549998789822E-24,-5.518657550413193E-23,-9.356697924403003E-24
131.5,1.0921337591727403E-23,9.600046571777294E-23,9.255267626381387E-23,-6.5277799418493306E-24,-5.343858982822181E-23,-8.472774744075792E-24
132,1.704876088970138E-23,9.606694492005395E-23,9.26497748997275E-23,-1.2281430197569396E-23,-5.184691545544498E-23,-7.709452153261076E-24
132.5,2.3409963645710478E-23,9.565567506136066E-23,9.230309880649597E-23,-1.825082572768812E-23,-5.0393687545769794E-23,-7.046282389940023E-24
133,2.9974360522891564E-23,9.470297337999105E-23,9.145391425375259E-23,-2.4408037331444976E-23,-4.9063420301978167E-23,-6.4668917283235834E-24
133.49999999999997,3.669695695019671E-23,9.314334395989714E-23,9.00416930927505E-23,-3.071182442346947E-23,-4.784284662667753E-23,-5.958017656162376E-24
134,4.3515826610101475E-23,9.091075877299534E-23,8.800534007534219E-23,-3.7105328513306516E-23,-4.6720302043879925E-23,-5.508961796630035E-24
134.5,5.034979247184706E-23,8.794393985594526E-23,8.5288027784801E-23,-4.351389040655449E-23,-4.5685725056511393E-23,-5.1109753812327736E-24
135,5.709755977547754E-23,8.419136659999742E-23,8.184182461902077E-23,-4.9844203077145544E-23,-4.4730236871928375E-23,-4.756822638333484E-24
135.5,6.363807121342661E-23,7.961806100578493E-23,7.763396829358756E-23,-5.598461486486358E-23,-4.384615395540921E-23,-4.440504178024062E-24
135.99999999999997,6.983312218467709E-23,7.42121076598917E-23,7.265291715091864E-23,-6.180750770881332E-23,-4.30266783921182E-23,-4.1570033891934814E-24
136.5,7.553249463544377E-23,6.799173195704253E-23,6.691490722904212E-23,-6.717401654996353E-23,-4.22658644661873E-23,-3.9021193411693686E-24
136.99999999999997,8.058179435304093E-23,6.101035777498631E-23,6.046868652640009E-23,-7.19412379964837E-23,-4.1558412684067276E-23,-3.672301444630492E-24
137.5,8.483342137977583E-23,5.335979757759916E-23,5.339850440902326E-23,-7.597233770366167E-23,-4.0899647206819127E-23,-3.4645092806786795E-24
138,8.81571432554953E-23,4.516964318970875E-23,4.5823609763261965E-23,-7.914636756074287E-23,-4.0285417237271624E-23,-3.2761748852696305E-24
138.5,9.04524959811799E-23,3.660226702321982E-23,3.789369328844841E-23,-8.13697249122886E-23,-3.971201641225107E-23,-3.1050912581097088E-24
139,9.165884090781112E-23,2.7843499694208457E-23,2.9780319368610657E-23,-8.258549162759734E-23,-3.917611993409878E-23,-2.949335360820996E-24
139.49999999999997,9.176085869892055E-23,1.9090493395482872E-23,2.1665739255291637E-23,-8.277859260043676E-23,-3.8674808708225624E-23,-2.807278817596631E-24
140,9.079029619448085E-23,1.0537210274119279E-23,1.3729490617151387E-23,-8.197747739488706E-23,-3.8205360095663007E-23,-2.677473928353702E-24
140.5,8.882228804270922E-23,2.361293619207899E-24,6.136237919521834E-24,-8.025078245232886E-23,-3.7765392513302707E-23,-2.5586881182708405E-24
141,8.596792291586223E-23,-5.287252168289962E-24,-9.747304862803428E-25,-7.770050600836562E-23,-3.735273542303345E-23,-2.4498126728226802E-24
141.5,8.236296772022805E-23,-1.2293068935045556E-23,-7.496039629497784E-24,-7.445164806982946E-23,-3.6965450067749756E-23,-2.349894751727393E-24
141.99999999999997,7.81561797121687E-23,-1.8578734930845618E-23,-1.335532195050692E-23,-7.064141330062083E-23,-3.660172607306934E-23,-2.2580942050054948E-24
142.5,7.349869363956046E-23,-2.4104206938598025E-23,-1.8514747560071922E-23,-6.640936958882026E-23,-3.625997636572603E-23,-2.1736561644142682E-24
142.99999999999997,6.853431057629609E-23,-2.8861931889323706E-23,-2.2966569600835116E-23,-6.18884945472556E-23,-3.593869683467352E-23,-2.0959240155315063E-24
143.5,6.33932447566985E-23,-3.2871725867740555E-23,-2.672841723648311E-23,-5.719932471345475E-23,-3.563656990376466E-23,-2.0243135876555674E-24
144,5.81879659214897E-23,-3.617387727897049E-23,-2.9836928419346517E-23,-5.244609871976567E-23,-3.5352362776608886E-23,-1.9582833515472446E-24
144.5,5.301149643873065E-23,-3.882212062047802E-23,-3.2341291639283925E-23,-4.771515607952546E-23,-3.5084948610183466E-23,-1.8973827644521487E-24
145,4.793741753353862E-23,-4.087866084240789E-23,-3.4298604676101887E-23,-4.307489808573856E-23,-3.4833292847562206E-23,-1.8411798020448952E-24
145.49999999999997,4.302172915057463E-23,-4.2408950591596216E-23,-3.576908088428231E-23,-3.8577480687173834E-23,-3.459646384471717E-23,-1.7892944742045666E-24
146,3.830432277038165E-23,-4.34778855986035E-23,-3.681249167498088E-23,-3.426019487339588E-23,-3.437356081139859E-23,-1.7413867255068875E-24
146.5,3.381219572771721E-23,-4.4147608107852964E-23,-3.7486147559079893E-23,-3.014837503151626E-23,-3.4163802524408403E-23,-1.6971778874682254E-24
147,2.956110404116561E-23,-4.447654985883202E-23,-3.784397234801182E-23,-2.6256935233822714E-23,-3.3966458136798186E-23,-1.656353966213335E-24
147.5,2.5558325424572418E-23,-4.451715423865104E-23,-3.7934411514126117E-23,-2.2592940328022937E-23,-3.378083891928558E-23,-1.618683621074477E-24
147.99999999999997,2.1804271357145392E-23,-4.4316531601345847E-23,-3.7801000994895816E-23,-1.9157072238391273E-23,-3.360630646693776E-23,-1.5839111909457661E-24
148.5,1.829516512826676E-23,-4.3915917083055244E-23,-3.7481904988316244E-23,-1.594611828132607E-23,-3.344228415389171E-23,-1.551860549061892E-24
148.99999999999997,1.5022990875811936E-23,-4.3351439894250046E-23,-3.7010553837447667E-23,-1.2952909485332242E-23,-3.3288226144843034E-23,-1.5223110621148915E-24
149.5,1.197779858101964E-23,-4.2653946671747756E-23,-3.641552753235716E-23,-1.0168477884362771E-23,-3.3143626838382825E-23,-1.4951050256829431E-24
150,9.14814626056126E-24,-4.1850023035022156E-23,-3.572147943140521E-23,-7.582440797487067E-24,-3.300802996189123E-23,-1.4700725437586908E-24
