% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
126,1.4359992998549106E-31,1.594671466054934E-31,1.9564121269676478E-31,-1.5045125877236495E-31,-1.2779766233663626E-32,-8.537453628175083E-32
126.49999999999999,1.4428526629798687E-31,1.7238627119045916E-31,2.0962427540179343E-31,-1.5178450442359076E-31,-1.354820840213807E-32,-8.530115963646848E-32
127,1.4614465645270648E-31,1.8615216121613302E-31,2.2449741887060135E-31,-1.5437074988944137E-31,-1.4313211538908444E-32,-8.521825106055329E-32
127.49999999999999,1.4930886371870447E-31,2.007133801213153E-31,2.4020688040696177E-31,-1.5835101283267135E-31,-1.5074857602843097E-32,-8.512576361812317E-32
127.99999999999999,1.5391739610490085E-31,2.1600656871072004E-31,2.5668574831754293E-31,-1.6387588291963134E-31,-1.5833292538872799E-32,-8.50241651199557E-32
128.5,1.6011856736873033E-31,2.3195356050397258E-31,2.7385090621439103E-31,-1.711056245743742E-31,-1.6588734674282552E-32,-8.491355970720949E-32
129,1.6807014478766313E-31,2.4845735089703557E-31,2.9159856006631928E-31,-1.8021073506506125E-31,-1.7341191085354826E-32,-8.47943385790148E-32
129.5,1.7793815826007431E-31,2.6539792377724324E-31,3.0979987188253593E-31,-1.913706974711438E-31,-1.8091118895311754E-32,-8.466640955892503E-32
129.99999999999997,1.8989653563548247E-31,2.8262682450044925E-31,3.282949454042087E-31,-2.0477341879936615E-31,-1.8838451944434006E-32,-8.453018325834958E-32
130.5,2.041231773562934E-31,2.99960993302069E-31,3.4688631254569494E-31,-2.20610981869509E-31,-1.9583588370702253E-32,-8.438578424871391E-32
130.99999999999997,2.207963856268433E-31,3.1717677412438236E-31,3.6533238390345387E-31,-2.390757349803073E-31,-2.032654702028387E-32,-8.423345872055692E-32
131.5,2.400868490114442E-31,3.340031532344293E-31,3.8334029326327166E-31,-2.6035155894164974E-31,-2.1067752447030158E-32,-8.407302173772621E-32
132,2.62149349075831E-31,3.501148793131352E-31,4.0055848010945665E-31,-2.846047781516634E-31,-2.1807695982694726E-32,-8.390488756861596E-32
132.5,2.871107084651144E-31,3.651274282866913E-31,4.165711316451561E-31,-3.119711331705569E-31,-2.2545852125041576E-32,-8.372920779384893E-32
133,3.1505209177714727E-31,3.785935971668316E-31,4.308948881068898E-31,-3.4253661746615217E-31,-2.3282421503682335E-32,-8.354616429425437E-32
133.49999999999997,3.4598847723662006E-31,3.900064991137144E-31,4.429822894876361E-31,-3.7631529256087724E-31,-2.4018342436373107E-32,-8.335558706377284E-32
134,3.798494423225214E-31,3.988022360031924E-31,4.522244254373376E-31,-4.132284752582234E-31,-2.4753681190991935E-32,-8.315759592775684E-32
134.5,4.164521950833771E-31,4.0437530414784085E-31,4.5796800087326E-31,-4.5307561083500795E-31,-2.548857750357889E-32,-8.295226686967161E-32
135,4.554791959183636E-31,4.061003784550331E-31,4.595390005030718E-31,-4.955102786569421E-31,-2.622324138724886E-32,-8.273970975081537E-32
135.5,4.964575833236436E-31,4.033666830811757E-31,4.56280037210291E-31,-5.400180784007702E-31,-2.69579984351152E-32,-8.25198801598196E-32
135.99999999999997,5.387494865740341E-31,3.956195166799489E-31,4.475952965705031E-31,-5.859064460077573E-31,-2.7693155520764696E-32,-8.229293304107866E-32
136.5,5.815531241228624E-31,3.824127901151281E-31,4.330073845072921E-31,-6.32306065918389E-31,-2.842890749386336E-32,-8.205877597819417E-32
136.99999999999997,6.239241618560389E-31,3.6346104881971672E-31,4.122134425310134E-31,-6.78194367655341E-31,-2.916543353291976E-32,-8.181753296755123E-32
137.5,6.64818095048601E-31,3.3869086162901496E-31,3.851405751535269E-31,-7.224417387182804E-31,-2.9903220835388884E-32,-8.156893965231903E-32
138,7.03146490690082E-31,3.0827739725494926E-31,3.519850100362105E-31,-7.638723752069322E-31,-3.0642393226804476E-32,-8.131305142439033E-32
138.5,7.378542257307769E-31,2.726602982608429E-31,3.132288591643536E-31,-8.013480844601516E-31,-3.1383193573346317E-32,-8.104994860017023E-32
139,7.680002898936792E-31,2.3253192071319495E-31,2.696269219959973E-31,-8.338556437818444E-31,-3.2126051846195013E-32,-8.077940463071513E-32
139.49999999999997,7.928285749853375E-31,1.887977761359299E-31,2.221634656775118E-31,-8.605830433237083E-31,-3.287118674834425E-32,-8.050146519810286E-32
140,8.118245884519605E-31,1.4251072184507607E-31,1.7198065548141422E-31,-8.809805003179416E-31,-3.361884913217133E-32,-8.021594217138552E-32
140.5,8.247437044294809E-31,9.479322918428936E-32,1.2029435652727133E-31,-8.947905551359506E-31,-3.436923375627958E-32,-7.992275690354806E-32
141,8.316124361776847E-31,4.6755307591063875E-32,6.830535360229982E-32,-9.02049032858484E-31,-3.5122861540882086E-32,-7.962166373916199E-32
141.5,8.326992600900004E-31,-5.774713936466785E-34,1.7121671463606765E-32,-9.030528995856601E-31,-3.5879937868703806E-32,-7.931260355218141E-32
141.99999999999997,8.284667854041875E-31,-4.6320654653403816E-32,-3.230250386435928E-32,-8.983082431788752E-31,-3.664062947753854E-32,-7.899549613065981E-32
142.5,8.195163521677291E-31,-8.976572868826814E-32,-7.920415733175503E-32,-8.884702903052103E-31,-3.740542188075666E-32,-7.866999182845829E-32
142.99999999999997,8.065266409191582E-31,-1.3038805557123874E-31,-1.2301961358238522E-31,-8.742766883309234E-31,-3.817444845688186E-32,-7.833604141847006E-32
143.5,7.902025309549106E-31,-1.678446518252504E-31,-1.6338184980224687E-31,-8.564924274769147E-31,-3.894807402854423E-32,-7.799338863942192E-32
144,7.71231756640185E-31,-2.0195332407491357E-31,-2.0009770853989235E-31,-8.358629815503762E-31,-3.972665104013677E-32,-7.764158446799329E-32
144.5,7.502536925453047E-31,-2.326653481970331E-31,-2.3311804024497615E-31,-8.1308065618616E-31,-4.051041990498224E-32,-7.728077284295395E-32
145,7.27839842471276E-31,-2.600384266308586E-31,-2.6250852515829954E-31,-7.887637252456786E-31,-4.129968611321032E-32,-7.691026695254575E-32
145.49999999999997,7.044866835573169E-31,-2.8420839081611213E-31,-2.8841880214330513E-31,-7.634489031190425E-31,-4.209493327357592E-32,-7.652993904877619E-32
146,6.806106665237151E-31,-3.053613969605627E-31,-3.1105250602403403E-31,-7.3758586131571415E-31,-4.289618553969403E-32,-7.613936035056368E-32
146.5,6.565554499071985E-31,-3.2371575072794E-31,-3.306475214850115E-31,-7.115454372130474E-31,-4.370358836001033E-32,-7.573850451381011E-32
147,6.325939001853054E-31,-3.395093634535921E-31,-3.474626107889003E-31,-6.856218897844438E-31,-4.45178825727359E-32,-7.532671443506712E-32
147.5,6.089392350530635E-31,-3.5297938102322657E-31,-3.617552584402669E-31,-6.600448114963978E-31,-4.5339164650607133E-32,-7.490379704956934E-32
147.99999999999997,5.857511828531666E-31,-3.6435883792000693E-31,-3.7377826808423075E-31,-6.349859984404909E-31,-4.616780032460842E-32,-7.44688206372207E-32
148.5,5.631504631552696E-31,-3.738690673325806E-31,-3.837713050814313E-31,-6.1057513979112075E-31,-4.700394674592231E-32,-7.402208495549006E-32
148.99999999999997,5.412171623173175E-31,-3.817174352619946E-31,-3.9195891303963704E-31,-5.868980875672598E-31,-4.784808309200972E-32,-7.356250028222321E-32
149.5,5.200054352467675E-31,-3.880929444909731E-31,-3.98545435934044E-31,-5.640126921796969E-31,-4.8700370830135286E-32,-7.30897387486626E-32
150,4.995468091922903E-31,-3.931694805660896E-31,-4.037187061482487E-31,-5.419525317906359E-31,-4.956116232712404E-32,-7.260329599993672E-32
150.5,4.798548620696961E-31,-3.971024038632715E-31,-4.076463897012206E-31,-5.207318390981944E-31,-5.04307314717825E-32,-7.210254745634536E-32
151,4.609291143364262E-31,-4.00030650074205E-31,-4.104782564563719E-31,-5.003497742304656E-31,-5.130936097146729E-32,-7.158694477784742E-32
151.49999999999997,4.427591736866951E-31,-4.020782755340876E-31,-4.123478894786916E-31,-4.807949015948896E-31,-5.219730239895701E-32,-7.105569629671854E-32
152,4.253279425430427E-31,-4.0335529940229855E-31,-4.133735367157203E-31,-4.620486487733394E-31,-5.309476213779876E-32,-7.050828857235236E-32
152.5,4.086121249073994E-31,-4.039593364803319E-31,-4.1365999385163E-31,-4.44085894085576E-31,-5.400217457673207E-32,-6.994398755268246E-32
153,3.9258483083080017E-31,-4.039743328053734E-31,-4.132971383323303E-31,-4.26877634937788E-31,-5.491953436691109E-32,-6.936191361493963E-32
153.5,3.7721667613009E-31,-4.034765345245857E-31,-4.123664934072955E-31,-4.103924142123812E-31,-5.584733246150341E-32,-6.876115375945189E-32
153.99999999999997,3.624775706441423E-31,-4.025320253858986E-31,-4.109384363946453E-31,-3.945980669039461E-31,-5.678575513328883E-32,-6.814098445658646E-32
154.5,3.483366976061711E-31,-4.01198593894102E-31,-4.0907429856981875E-31,-3.7946175369567127E-31,-5.773489626563219E-32,-6.750042481350967E-32
154.99999999999997,3.3476297456610707E-31,-3.995274289670084E-31,-4.068281907260114E-31,-3.649505067939499E-31,-5.86950992044567E-32,-6.68383978385238E-32
155.5,3.217260845424298E-31,-3.975635450799566E-31,-4.042473873604753E-31,-3.5103230544457133E-31,-5.966650028276476E-32,-6.615397527170075E-32
156,3.0919640249105343E-31,-3.95346401186038E-31,-4.01373060691023E-31,-3.376760146609842E-31,-6.064923484101163E-32,-6.544603108049251E-32
156.5,2.971447651877889E-31,-3.9291098288668036E-31,-3.982414072522704E-31,-3.2485117576773294E-31,-6.164354363510649E-32,-6.471328207878928E-32
157,2.8554405771274448E-31,-3.9028830601850576E-31,-3.948841408314199E-31,-3.1252971394530003E-31,-6.264940628257334E-32,-6.395461787543E-32
157.49999999999997,2.7436706120245493E-31,-3.8750532326647527E-31,-3.913284095092894E-31,-3.0068362226674246E-31,-6.366705808014319E-32,-6.316857812644095E-32
158,2.6358845669425976E-31,-3.8458684110766913E-31,-3.8759884946538537E-31,-2.8928720959880765E-31,-6.469641184418657E-32,-6.235371475744821E-32
