% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 25 2025, 15:16
% Dimension:          1
% Nodes:              91
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
39,2.800143731301536E-16,1.7652493799937534E-18,1.549192512637693E-20,2.8141043059360475E-23,2.8179514257631677E-16
39.99999999999999,3.344351062386244E-16,2.2993600576627125E-18,1.9889721258740376E-20,4.0818593232681877E-23,3.3675439683613903E-16
41,3.9798347548925674E-16,2.9787127234128566E-18,2.5380333596158812E-20,5.871850253762854E-23,4.009876272647683E-16
42,4.719764899565857E-16,3.838963037628212E-18,3.219967247934455E-20,8.380643103987289E-23,4.758477364731243E-16
42.99999999999999,5.579007494808624E-16,4.9237655849519E-18,4.062548349524846E-20,1.1872434676990184E-22,5.628652592736564E-16
44,6.574261967359214E-16,6.2864515676806705E-18,5.0986304791881546E-20,1.670027005933909E-22,6.637638016110945E-16
45,7.724277977499986E-16,7.99205363748762E-18,6.366835111337915E-20,2.333347908442444E-22,7.804837530733904E-16
45.99999999999999,9.050114227749816E-16,1.0119740163511418E-17,7.9123995662948E-20,3.2392915705003555E-22,9.152106108633128E-16
47,1.0575311377423442E-15,1.2765756708583717E-17,9.78783394010933E-20,4.469585370642022E-22,1.0703952197488662E-15
48,1.232628482193997E-15,1.604696847099594E-17,1.2054532725852544E-19,6.1313424074374235E-22,1.2487966091264923E-15
48.99999999999999,1.4332565202558293E-15,2.0105156293150326E-17,1.4783570133823746E-19,8.364334188800785E-22,1.4535103486837368E-15
50,1.6627159647592295E-15,2.5112200142080062E-17,1.8057091563089298E-19,1.1350231149994622E-21,1.6880098708400554E-15
50.99999999999999,1.9246902393652897E-15,3.127637052041161E-17,2.1969867835226493E-19,1.5324221744969244E-21,1.9561878409862283E-15
51.99999999999999,2.2232966777516118E-15,3.884996357899496E-17,2.663134723916001E-19,2.0589678089314493E-21,2.2624150137708075E-15
53,2.563118275797121E-15,4.813860776759975E-17,3.2166698627696295E-19,2.7536560446204352E-21,2.6115813042070424E-15
53.99999999999999,2.949262460629598E-15,5.951258378173461E-17,3.871964382584092E-19,3.66643472620552E-21,3.009165907284317E-15
54.99999999999999,3.3874128327886634E-15,7.342072988682591E-17,4.64548029522788E-19,4.8610879982040695E-21,3.46130297179301E-15
56,3.883888523127654E-15,9.040736457283558E-17,5.556025083209275E-19,6.418799762056652E-21,3.974857909008572E-15
56.99999999999999,4.445713857445304E-15,1.1113317334612266E-16,6.625153101711104E-19,8.442605623689994E-21,4.557517988707221E-15
57.99999999999999,5.0806712359585405E-15,1.3640108562766947E-16,7.877460797158338E-19,1.1062858824990795E-20,5.2178711305247506E-15
59,5.797391703492627E-15,1.6718793555081635E-16,9.341088892880754E-19,1.4444039287691557E-20,5.96552819197202E-15
60,6.605408802721063E-15,2.0468409016891381E-16,1.104823464599973E-18,1.8793057513043007E-20,6.8112165094120905E-15
60.99999999999999,7.515257624982516E-15,2.5034281252264694E-16,1.3035848660345078E-18,2.436952479092889E-20,7.766928391895988E-15
61.99999999999999,8.538551110683313E-15,3.0594164187347774E-16,1.5346502800602582E-18,3.149811430511817E-20,8.846058900951154E-15
63,9.6879558220448E-15,3.736602407591463E-16,1.8028915195482596E-18,4.058401711234748E-20,1.0063459538340606E-14
63.99999999999999,1.0977424522887038E-14,4.561776976586578E-16,2.113999909608393E-18,5.213097975011553E-20,1.1435768351435054E-14
64.99999999999999,1.2422082917831481E-14,5.567976333218547E-16,2.474553903422648E-18,6.676363004583909E-20,1.2981421868686804E-14
66,1.4038345927066544E-14,6.796046173597323E-16,2.8922923755443665E-18,8.52539714946724E-20,1.4720928090773315E-14
67,1.5843802227344483E-14,8.296703211820922E-16,3.376284987629248E-18,1.085523316256204E-19,1.667695738584583E-14
67.99999999999999,1.7857146758781814E-14,1.0133129696779293E-15,3.937283764223375E-18,1.378251111575968E-19,1.8874534837335124E-14
