% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 16:56
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
739.9999999999999,4.677065917783829E-14,5.141742001475513E-15,1.3826439322581239E-17,8.144736329936704E-19
749.9999999999999,4.264036929682189E-14,4.208309488604371E-15,1.2197239274252793E-17,6.604559078945322E-19
759.9999999999999,3.886583449689165E-14,3.4854003510812153E-15,1.0844725894768527E-17,5.373768695116627E-19
770,3.542656530184305E-14,2.908757038750397E-15,9.696450985807873E-18,4.381806299368167E-19
780,3.2325493599254933E-14,2.4516363008933246E-15,8.70858265462452E-18,3.5878071361018957E-19
790,2.9525906670314315E-14,2.0796992886576786E-15,7.844990044464726E-18,2.9457702833687246E-19
800,2.700026662894012E-14,1.7743331452918184E-15,7.083112367987631E-18,2.4254053654233855E-19
810,2.4734316380245574E-14,1.52551698640124E-15,6.408300358720965E-18,2.0058517752972082E-19
820,2.2690408387260923E-14,1.3176928272262085E-15,5.8063391695834995E-18,1.663578959071923E-19
830,2.0849918149067173E-14,1.143085109363948E-15,5.268557103033481E-18,1.3838102797065516E-19
839.9999999999999,1.9187121970970195E-14,9.954741825811992E-16,4.786694615775616E-18,1.1542795359934752E-19
849.9999999999999,1.7689865359079384E-14,8.719457508751455E-16,4.355382755716762E-18,9.669065276077205E-20
859.9999999999999,1.6332724427416315E-14,7.661789560073909E-16,3.967917485137832E-18,8.120622175215448E-20
869.9999999999999,1.5106835155610033E-14,6.766609403925513E-16,3.620358963153431E-18,6.847934055184444E-20
879.9999999999999,1.3986417081973304E-14,5.979403993617069E-16,3.306716736776453E-18,5.780096261273574E-20
890,1.2971392434111566E-14,5.30815117301149E-16,3.024801830273426E-18,4.897904674550625E-20
900,1.2046021444297446E-14,4.720639754298427E-16,2.7699032551882177E-18,4.1596541833238965E-20
