% Model:              2D-Au-Plate.mph
% Version:            COMSOL 6.1.0.282
% Date:               Feb 13 2025, 15:59
% Dimension:          1
% Nodes:              61
% Expressions:        4
% Description:        Table graph
% lambda0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2)
580,2.262290547182532E-14,2.033474277150352E-15,5.8814205440323516E-18,3.493197301084875E-19
590,2.036687563740605E-14,1.554431924170944E-15,4.908694410368452E-18,2.669466536213655E-19
600,1.8283541608018227E-14,1.221282970345218E-15,4.178358718401162E-18,2.0460237418685914E-19
610,1.6419981322645957E-14,9.806352108189567E-16,3.593131061996187E-18,1.5754666676271027E-19
619.9999999999999,1.4767223332174747E-14,8.013360972297096E-16,3.1048606844751045E-18,1.2209340188714345E-19
629.9999999999999,1.3301097669140925E-14,6.608331338471257E-16,2.690612627497324E-18,9.50766355544964E-20
639.9999999999999,1.2001632481788176E-14,5.507243905267715E-16,2.3382247876519002E-18,7.443734972680019E-20
650,1.0845780403977328E-14,4.625535084264726E-16,2.039877088594154E-18,5.857319172385955E-20
660,9.81377047655248E-15,3.907450084612242E-16,1.7881439214463595E-18,4.630731793815931E-20
670,8.877835785999955E-15,3.304574792170829E-16,1.5741260051113381E-18,3.671639932885242E-20
680,8.04165929760957E-15,2.8036188130222426E-16,1.3926880865622057E-18,2.921472581604821E-20
690,7.29630355903511E-15,2.3905745875066077E-16,1.2381418816319798E-18,2.3361135639321062E-20
700,6.633564561877637E-15,2.0523438464230304E-16,1.1056300064895345E-18,1.8799751666024946E-20
710,6.036990208567395E-15,1.7624377168825295E-16,9.901779277522251E-19,1.515688371641329E-20
720,5.505438219188326E-15,1.5229371978675948E-16,8.892939568482785E-19,1.2295484523291294E-20
729.9999999999999,5.028260866794795E-15,1.3197848280304198E-16,8.003449696351643E-19,1.0008358910618223E-20
739.9999999999999,4.600713028432284E-15,1.149010299470167E-16,7.215793942019783E-19,8.185351872286448E-21
749.9999999999999,4.215629988144586E-15,1.0030165973870356E-16,6.51367686431099E-19,6.716107179191385E-21
759.9999999999999,3.869574582777925E-15,8.792849209896408E-17,5.886487619675753E-19,5.535602102376652E-21
770,3.556907643381431E-15,7.725797203689226E-17,5.323756252829506E-19,4.576383944761914E-21
780,3.274963442162548E-15,6.815951983015804E-17,4.8195581581859735E-19,3.799823862427871E-21
790,3.0193754117001177E-15,6.026721170238695E-17,4.366538298375053E-19,3.164038596664597E-21
800,2.7873222002304193E-15,5.3401567416781643E-17,3.9593149524517544E-19,2.6418844500690605E-21
810,2.5771675174796794E-15,4.7491834543966535E-17,3.593877551035653E-19,2.2148150390838184E-21
820,2.3858044106841114E-15,4.231570417069502E-17,3.2651491593399383E-19,1.8615455653827855E-21
830,2.2117747593506333E-15,3.777331312051216E-17,2.969604665663065E-19,1.5687337944266254E-21
839.9999999999999,2.0528933087872162E-15,3.377618598243628E-17,2.703519585808528E-19,1.3251618964795536E-21
849.9999999999999,1.908195417844093E-15,3.029930989207539E-17,2.464290655320565E-19,1.123525662608925E-21
859.9999999999999,1.7756743094287262E-15,2.7221798856193976E-17,2.2485647413145764E-19,9.546984411291163E-22
869.9999999999999,1.654660685362178E-15,2.4531061346112386E-17,2.0542931376924527E-19,8.1410012408609105E-22
879.9999999999999,1.5430505577221314E-15,2.2102264630353335E-17,1.8783797472764505E-19,6.947219746703163E-22
890,1.440891037671144E-15,1.9971677388962464E-17,1.7196633099806837E-19,5.948614433749553E-22
900,1.3469913174112488E-15,1.806153555265514E-17,1.575531732498098E-19,5.1032133791017295E-22
