% Model,2D-Au-Plate.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 8 2025, 17:11"
% Table,Table 6 - Point Evaluation 3
% lambda0 (nm),M,"real(ewfd.relHphi) (A/m), Point: 13","imag(ewfd.relHphi) (A/m), Point: 13"
949.9999999999999,1,-4.243995053834394E-6,-1.916959945824653E-5
949.9999999999999,2,4.282798639757072E-8,-1.288260469863881E-7
955.9999999999999,-2,7.0847619118616E-6,7.040744993664022E-7
955.9999999999999,-1,-2.0412109738775984E-4,1.872975472503095E-4
955.9999999999999,0,1.0821708433499718E-5,-1.532551892794433E-4
955.9999999999999,1,1.3492132328245227E-7,-1.9756036630749824E-5
955.9999999999999,2,5.6208715873198426E-8,-1.1680528235091695E-7
962,-2,6.641849139566933E-6,1.277905609257359E-6
962,-1,-2.778389778166639E-4,1.304272940660731E-4
962,0,2.7020010411659008E-5,-1.517702638194824E-4
962,1,4.340480807700627E-6,-1.9104009159426403E-5
962,2,6.746307772294181E-8,-1.0422415120613946E-7
968,-2,6.182875112068361E-6,1.7761640154788295E-6
968,-1,-3.2982064613911556E-4,5.325236012833856E-5
968,0,4.276319492547229E-5,-1.4861490537439453E-4
968,1,8.002623665300402E-6,-1.743303655878432E-5
968,2,7.67218738192115E-8,-9.13349091672955E-8
974,-2,5.7146846290652865E-6,2.2041315720783145E-6
974,-1,-3.5624816167908774E-4,-3.489816383516753E-5
974,0,5.789292755822363E-5,-1.4390142063613342E-4
974,1,1.090067911970719E-5,-1.5052743628513026E-5
974,2,8.412115715760888E-8,-7.83520534676858E-8
980,-2,5.243016184570529E-6,2.5670034038992524E-6
980,-1,-3.57148666829244E-4,-1.2520477224648964E-4
980,0,7.227498822293666E-5,-1.377532779282234E-4
980,1,1.2961553484175321E-5,-1.2282407768147046E-5
980,2,8.98003237376171E-8,-6.545480670245814E-8
985.9999999999999,-2,4.77229673012017E-6,2.8700208214406474E-6
985.9999999999999,-1,-3.3516974257145345E-4,-2.1063927217090253E-4
985.9999999999999,0,8.580726936317207E-5,-1.3029361484007563E-4
985.9999999999999,1,1.4224322828402809E-5,-9.394588296289662E-6
985.9999999999999,2,9.390687210235831E-8,-5.2771092407879616E-8
991.9999999999999,-2,4.307119485541708E-6,3.1184350879018567E-6
991.9999999999999,-1,-2.9441700862486303E-4,-2.859607518001997E-4
991.9999999999999,0,9.839500024134783E-5,-1.2165349450625888E-4
991.9999999999999,1,1.4790616664715313E-5,-6.601968064121943E-6
991.9999999999999,2,9.659931270537807E-8,-4.040616530908647E-8
997.9999999999999,-2,3.852250650868664E-6,3.3167030552734135E-6
997.9999999999999,-1,-2.39703953706421E-4,-3.47931601182228E-4
997.9999999999999,0,1.0994039639911825E-4,-1.1198621894841595E-4
997.9999999999999,1,1.4796442732554074E-5,-4.046602006150987E-6
997.9999999999999,2,9.801062817213371E-8,-2.8504777613520536E-8
1003.9999999999999,-2,3.407234181769883E-6,3.4669001387523144E-6
1003.9999999999999,-1,-1.7450970967547482E-4,-3.961225236900072E-4
1003.9999999999999,0,1.2042538704391756E-4,-1.0137616208616553E-4
1003.9999999999999,1,1.4379730886448185E-5,-1.7649804988038553E-6
1003.9999999999999,2,9.817780649596638E-8,-1.715000457185026E-8
1010,-2,2.975747456381808E-6,3.573476950460454E-6
