% Model:              2D-Au-Plate_tm.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 22 2025, 13:59
% Dimension:          1
% Nodes:              101
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
821.9999999999999,-2.413399643444611E-36,-2.962438187534301E-39,-1.4396864532995747E-23,2.3221687928576532E-23,0,0
828,-3.0318068131226964E-36,1.242364406033546E-36,-1.709499479728871E-23,2.2979857930136765E-23,0,0
834,-4.195936902641649E-36,1.7853771634449424E-36,-2.0027555968823948E-23,2.2316930225783256E-23,0,0
839.9999999999999,-7.265541832200914E-37,-1.50759993018169E-36,-2.318138022858548E-23,2.1186832611594337E-23,0,0
845.9999999999999,2.386298019149893E-36,3.420902526600741E-36,-2.647743916316109E-23,1.955541303988656E-23,0,0
852,-6.080725130520834E-36,-3.050085993764027E-37,-2.9953746572435307E-23,1.7331012578184874E-23,0,0
858,-1.1492602355508679E-36,-8.639550936670292E-36,-3.3576667125631205E-23,1.4418163203057948E-23,0,0
863.9999999999999,-1.3119492679859936E-36,8.743560627780071E-36,-3.724693137029373E-23,1.0741614258087086E-23,0,0
869.9999999999999,2.612908322768963E-35,7.554289457000486E-36,-4.09077986512813E-23,6.172011350128953E-24,0,0
876,-1.0252325531373101E-35,-4.8534396069406254E-36,-4.452969679983935E-23,4.580834522826441E-25,0,0
882,-2.9810669502975192E-36,-4.068703426032512E-37,-4.7848875465862413E-23,-6.468082380158068E-24,0,0
887.9999999999999,1.1071964964394013E-35,2.103662675574236E-36,-5.060707705075076E-23,-1.470955948689477E-23,0,0
893.9999999999999,-1.3089594398590127E-35,4.4376603261383665E-36,-5.251441194829522E-23,-2.4448659383430957E-23,0,0
900,1.1499449840370379E-35,2.3353527317788658E-36,-5.31302239251446E-23,-3.574291850868209E-23,0,0
906,-9.290494471259639E-36,3.8050103879479496E-36,-5.189536728227162E-23,-4.8604574699932725E-23,0,0
911.9999999999999,2.2792812010040068E-35,4.505097240207881E-36,-4.8151849861186534E-23,-6.283543491709449E-23,0,0
917.9999999999999,1.5368696844199846E-35,1.797131772194896E-35,-4.117604498439778E-23,-7.797281067956687E-23,0,0
924,-5.32806401028067E-38,-3.1582099420938675E-35,-3.042023287873752E-23,-9.30664720072344E-23,0,0
930,-1.0743199196486926E-35,-4.753217656141184E-35,-1.5502295214024887E-23,-1.0704734509082403E-22,0,0
935.9999999999999,-2.9217165554557275E-35,2.923881081459904E-35,3.900053038084711E-24,-1.1871426149119224E-22,0,0
941.9999999999999,2.6706632536379787E-36,-2.980731783933236E-35,2.682000943340965E-23,-1.263190183504269E-22,0,0
948,-3.626082004572399E-36,2.183848885668352E-35,5.1778413891711624E-23,-1.2873442301545868E-22,0,0
954,2.2462633497887827E-36,1.0070136123430652E-34,7.72703774462825E-23,-1.254880704790332E-22,0,0
960,2.6275889699185023E-35,6.93801581944773E-36,1.0152396601308567E-22,-1.1678612110017152E-22,0,0
966,-1.3925621845051752E-35,1.771339098690583E-35,1.2308814987417892E-22,-1.0349106819301128E-22,0,0
971.9999999999999,-1.532925533139647E-35,-8.650146518508916E-36,1.4105980389043587E-22,-8.683769899058775E-23,0,0
