% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:29
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
879.9999999999999,-3.6704705168210727E-31,-4.29129575991103E-31,4.655962509973108E-31,-3.746381195644976E-31,-6.419967448066555E-32,4.818737173588212E-32
885,-3.670795149768233E-31,-4.715112031655948E-31,5.111073846511568E-31,-3.751004516453222E-31,-6.640158465054032E-32,4.758272698034726E-32
890,-3.632098205137749E-31,-5.174037130415547E-31,5.604601386483138E-31,-3.713723045315864E-31,-6.860551902045482E-32,4.6991771940565645E-32
894.9999999999999,-3.5430393435258565E-31,-5.666033714131762E-31,6.134584254590435E-31,-3.622202283158685E-31,-7.0796412310234E-32,4.6406728110179225E-32
900,-3.3909958324297976E-31,-6.188183584833535E-31,6.698000417312325E-31,-3.462844579737326E-31,-7.298395747718748E-32,4.582685484570713E-32
904.9999999999999,-3.1612093779664564E-31,-6.734618465912789E-31,7.288666817225926E-31,-3.2197672341649452E-31,-7.518374335790739E-32,4.5252414954608774E-32
910,-2.838040982779507E-31,-7.293701872680227E-31,7.894276889068616E-31,-2.875967543645827E-31,-7.740043274923981E-32,4.4681449321493183E-32
914.9999999999999,-2.4059545404694256E-31,-7.84682212287099E-31,8.495019564351551E-31,-2.4144364263112842E-31,-7.963736710529658E-32,4.411108346278392E-32
920,-1.8526331049189483E-31,-8.36726283193122E-31,9.062310911003834E-31,-1.8214872397429098E-31,-8.189789769219405E-32,4.3538276843001865E-32
924.9999999999999,-1.1833753952622844E-31,-8.816641287161768E-31,9.554720302095542E-31,-1.1022252193219866E-31,-8.41741879312521E-32,4.298200639859155E-32
930,-3.974629800781694E-32,-9.160567728883957E-31,9.935175518160913E-31,-2.5527478402715075E-32,-8.648116260553719E-32,4.241615262941657E-32
934.9999999999999,4.94751835011527E-32,-9.356872686311391E-31,1.0158032089916352E-30,7.089875046149248E-32,-8.883111667763199E-32,4.1812896532325446E-32
940,1.4407079016026504E-31,-9.366960993080694E-31,1.0180752794932883E-30,1.7345766336607247E-31,-9.12155113535369E-32,4.1189416325766536E-32
945,2.3712357946934147E-31,-9.17827939870807E-31,9.988523715535308E-31,2.747078071352026E-31,-9.362549329613868E-32,4.056307657127138E-32
949.9999999999999,3.2372446508845328E-31,-8.794663264109604E-31,9.584535890514242E-31,3.6934812918508706E-31,-9.607038860587232E-32,3.9905118092091656E-32
954.9999999999999,3.98266551390217E-31,-8.244622465189844E-31,8.998497522386056E-31,4.512728343200472E-31,-9.854747740164593E-32,3.921003650385963E-32
960,4.568456147610516E-31,-7.575763019531466E-31,8.281076313562383E-31,5.161763421170211E-31,-1.0105487919614085E-31,3.847373071147477E-32
965,4.977286147420687E-31,-6.843302626876569E-31,7.491593352678421E-31,5.620837165699594E-31,-1.0358940736869267E-31,3.769275178988321E-32
969.9999999999999,5.212993009453635E-31,-6.099830063878386E-31,6.686940647736659E-31,5.893136933100172E-31,-1.0614806595219229E-31,3.686473218778214E-32
974.9999999999999,5.294533870515534E-31,-5.387787521077848E-31,5.91331801891206E-31,5.998397573207977E-31,-1.087273214400324E-31,3.598778731747338E-32
980,5.249843569995871E-31,-4.736424733206826E-31,5.202819844339211E-31,5.966313716059801E-31,-1.1132556055916987E-31,3.5060822410672565E-32
985,5.108639262899453E-31,-4.162119463413032E-31,4.5736464485195015E-31,5.828738699127065E-31,-1.1394327407903979E-31,3.4081938699505445E-32
989.9999999999999,4.898443916839529E-31,-3.6710024705979807E-31,4.032881840548591E-31,5.615332999837378E-31,-1.1658572795663612E-31,3.3047541276186977E-32
