% Model:              3D-Au-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 12 2025, 16:29
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
930,2.0597411169854937E-23,8.591287467428247E-23,-7.758691716472245E-23,1.4348480010262092E-23,2.740571754552774E-24,-4.020780701643622E-23
934.9999999999999,8.118381054765937E-24,9.531073366649265E-23,-8.59759992206966E-23,2.542429163781414E-24,3.02066415060668E-24,-4.162460159642719E-23
940,-6.989996065011216E-24,1.0252613621591402E-22,-9.22946960466715E-23,-1.1665461537573936E-23,3.337814024908613E-24,-4.314753163065646E-23
945,-2.3860194099645812E-23,1.0667258178182787E-22,-9.573935172161754E-23,-2.7456035900091445E-23,3.686126159413642E-24,-4.475448968023704E-23
949.9999999999999,-4.177756389243191E-23,1.073063211643004E-22,-9.590738250500181E-23,-4.4160047273067174E-23,4.082606469916696E-24,-4.648827511575489E-23
954.9999999999999,-5.966607097886688E-23,1.0424945351593931E-22,-9.265173345342417E-23,-6.077794709060027E-23,4.537314298024548E-24,-4.8364019344823705E-23
960,-7.649259790262167E-23,9.776400439972261E-23,-8.623163067101551E-23,-7.635805531404297E-23,5.059768945582764E-24,-5.0400381746458234E-23
965,-9.144821900610523E-23,8.843618818692674E-23,-7.720194563205782E-23,-9.016159040113858E-23,5.663459266948415E-24,-5.261872055362723E-23
969.9999999999999,-1.040442704778655E-22,7.702990960218076E-23,-6.627606154464945E-23,-1.0174877981395139E-22,6.364893184143916E-24,-5.504436789007736E-23
974.9999999999999,-1.141026441175089E-22,6.431886761768375E-23,-5.417107212935878E-23,-1.109665718206773E-22,7.18691700462249E-24,-5.770652828321122E-23
980,-1.2170390289166096E-22,5.098673742278129E-23,-4.1516518233464427E-23,-1.1789937745441664E-22,8.155317141265505E-24,-6.064133364255021E-23
985,-1.270807328726266E-22,3.755303190964452E-23,-2.8787621716932895E-23,-1.2276914237061165E-22,9.30540983344936E-24,-6.389171720558469E-23
989.9999999999999,-1.305348434032493E-22,2.4369952108300813E-23,-1.6303626054795045E-23,-1.258589357045172E-22,1.0684444512939911E-23,-6.750957715545955E-23
994.9999999999999,-1.3235701359677935E-22,1.1903879413971264E-23,-4.498334935413544E-24,-1.274450984261635E-22,1.2303324070654759E-23,-7.146050126010999E-23
1000,-1.3289455366284041E-22,4.0099520094133873E-26,6.745893077912161E-24,-1.2784248821852494E-22,1.4272900730306994E-23,-7.588977636598501E-23
1005,-1.3234558915678627E-22,-1.1384572895967753E-23,1.758907927968917E-23,-1.2722521957546488E-22,1.6773857495243346E-23,-8.100141146808771E-23
1010,-1.309034288147552E-22,-2.21436398167946E-23,2.7817979663285956E-23,-1.25776849067012E-22,1.991016075975829E-23,-8.680952216078659E-23
1014.9999999999999,-1.2879282410644616E-22,-3.207031220898265E-23,3.727463188753311E-23,-1.2371105997441938E-22,2.3785379054662202E-23,-9.328193838260458E-23
1019.9999999999999,-1.2609411896113536E-22,-4.140942316146814E-23,4.61921979404557E-23,-1.21091996718808E-22,2.876886484381161E-23,-1.0067789870654804E-22
1025,-1.2288941801380676E-22,-5.0199569149420614E-23,5.46063688885421E-23,-1.1799299333805785E-22,3.5294327009495234E-23,-1.0914097228116654E-22
1030,-1.1924116758094658E-22,-5.847806797477269E-23,6.255143297012315E-23,-1.144693695714707E-22,4.4003465216202506E-23,-1.18799530187449E-22
1035,-1.1519007881249027E-22,-6.62733135797752E-23,7.005248726100939E-23,-1.1055624044648788E-22,5.58742295874269E-23,-1.2968495576688038E-22
1039.9999999999998,-1.107698418820269E-22,-7.361030750066352E-23,7.713122263603625E-23,-1.0628253181241842E-22,7.23810563278748E-23,-1.4156219703115352E-22
1045,-1.060009097518987E-22,-8.050202534305603E-23,8.379771482061273E-23,-1.0166539627598428E-22,9.572551952156748E-23,-1.5348432430960755E-22
1050,-1.009016669502534E-22,-8.695625234598337E-23,9.005703177145812E-23,-9.67204355576813E-23,1.2888815712777418E-22,-1.6283467351282552E-22
1055,-9.548633883830665E-23,-9.297105459473859E-23,9.590487776646342E-23,-9.145958307486582E-23,1.7475190635946628E-22,-1.6342986036139052E-22
1060,-8.977078365797773E-23,-9.853974217666958E-23,1.0133306076203843E-22,-8.589672455540024E-23,2.3203763828418726E-22,-1.434998180259793E-22
1064.9999999999998,-8.377057809487241E-23,-1.0364641924976987E-22,1.0632426892311156E-22,-8.004472328385919E-23,2.861797585901891E-22,-8.943794661267261E-23
1070,-7.750829339536978E-23,-1.0827426849815407E-22,1.1086001051276816E-22,-7.392236874958327E-23,3.0758464173200235E-22,-5.260523480720817E-24
1075,-7.101091593813654E-23,-1.1240102890782172E-22,1.1491311464877313E-22,-6.755356597992398E-23,2.8115003761054875E-22,7.542004840404023E-23
1080,-6.431192530409196E-23,-1.1600862568076208E-22,1.1846091897876337E-22,-6.097226970845536E-23,2.278489288734753E-22,1.239455939754723E-22
1084.9999999999998,-5.763777972192417E-23,-1.190653048792723E-22,1.2147327313972448E-22,-5.440613214842903E-23,1.7590073980916334E-22,1.4143096582515376E-22
1090,-5.0841031673060926E-23,-1.2160020407638402E-22,1.2397387308134583E-22,-4.77080405309851E-23,1.3433880089634952E-22,1.4184289226956046E-22
1095,-4.3777895214836E-23,-1.235835878093307E-22,1.259278321815909E-22,-4.0734063202711987E-23,1.0295650879355022E-22,1.3442306464782897E-22
1100,-3.669123229297913E-23,-1.2499628292828342E-22,1.2731876377867733E-22,-3.372718014414848E-23,8.04295472665591E-23,1.2444712670803688E-22
