% Model:              3D-Ag-Plate.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 14 2025, 19:53
% Dimension:          1
% Nodes:              51
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(px) (C*m),imag(px) (C*m),real(my)/c_const (C*m),imag(my)/c_const (C*m),real(pz) (C*m),imag(pz) (C*m)
350,1.1467897817567122E-34,4.737719393583165E-35,-1.680611242468975E-36,-7.045559894678008E-37,8.029864775213864E-35,3.3173830695333453E-35
352,1.1477114296448062E-34,4.7124529118724914E-35,-1.6630523720240486E-36,-6.927920459993877E-37,8.036320330514757E-35,3.2996861767081695E-35
354,1.1486180777910855E-34,4.6874448367443245E-35,-1.6457575728408913E-36,-6.812875869652474E-37,8.04267101912816E-35,3.282170401790575E-35
355.99999999999994,1.1495100532752074E-34,4.662691434481647E-35,-1.6287218219514528E-36,-6.700355176340971E-37,8.048919106304573E-35,3.2648331364173476E-35
357.99999999999994,1.150387337902488E-34,4.638186750060823E-35,-1.6119403090838985E-36,-6.590290801413005E-37,8.055065854488678E-35,3.247671225190292E-35
360,1.1512508723341186E-34,4.613931230433189E-35,-1.5954080246789346E-36,-6.4826148334891584E-37,8.061115028474856E-35,3.230683452404384E-35
362,1.1521006383951853E-34,4.5899194363385034E-35,-1.579120365174457E-36,-6.377263576986636E-37,8.067067731610974E-35,3.2138664976100197E-35
364,1.152936927360694E-34,4.566147877843939E-35,-1.5630727370028188E-36,-6.2741748064923335E-37,8.072926036681659E-35,3.1972178286655606E-35
366,1.1537600191369795E-34,4.542613163332756E-35,-1.547260648879948E-36,-6.173288303184111E-37,8.078691974442224E-35,3.18073503054645E-35
367.99999999999994,1.1545701821616303E-34,4.5193119461247734E-35,-1.5316797069993475E-36,-6.074545781309348E-37,8.084367489413256E-35,3.164415771099724E-35
369.99999999999994,1.1553676769327728E-34,4.496240900724585E-35,-1.5163256116137152E-36,-5.977890801430621E-37,8.089954441021897E-35,3.14825775973194E-35
372,1.1561527589016458E-34,4.4733967324366885E-35,-1.5011941551682036E-36,-5.8832686887043016E-37,8.095454624906696E-35,3.132258729901711E-35
374,1.156925679399302E-34,4.4507761956997764E-35,-1.4862812209759769E-36,-5.790626462560366E-37,8.100869790187205E-35,3.1164164403185146E-35
376,1.1576866853835813E-34,4.4283761069821595E-35,-1.4715827818174854E-36,-5.699912774874968E-37,8.106201647166192E-35,3.10072868167563E-35
378,1.158436018805387E-34,4.4061933506447557E-35,-1.4570948983812723E-36,-5.6110778534469166E-37,8.11145186859095E-35,3.085193281918049E-35
379.99999999999994,1.1591739158647576E-34,4.3842248791085516E-35,-1.4428137175937694E-36,-5.524073450090149E-37,8.116622087849186E-35,3.069808107963947E-35
381.99999999999994,1.1599006062200013E-34,4.362467706974373E-35,-1.4287354707580927E-36,-5.4388527938877675E-37,8.121713896380539E-35,3.0545710633990953E-35
384,1.1606163123687836E-34,4.340918897781278E-35,-1.4148564712602085E-36,-5.355370549048677E-37,8.126728842539081E-35,3.039480082503426E-35
386,1.1613212497370317E-34,4.3195755448785533E-35,-1.4011731116096684E-36,-5.2735827737325105E-37,8.131668434642477E-35,3.0245331230272964E-35
388,1.1620157441520171E-34,4.298432359499179E-35,-1.3876817154636394E-36,-5.193447672550288E-37,8.136534626317326E-35,3.009727603321565E-35
390,1.1626998308808586E-34,4.2774914626877586E-35,-1.3743790909387642E-36,-5.114921981996268E-37,8.141328125862107E-35,2.995062703930813E-35
391.99999999999994,1.163373770256006E-34,4.2567477369365084E-35,-1.3612617412707275E-36,-5.037966610795828E-37,8.146050666996907E-35,2.980536022589859E-35
393.99999999999994,1.1640377565569432E-34,4.2361983378686E-35,-1.3483263523178654E-36,-4.962542721897898E-37,8.150703578197989E-35,2.966145657463786E-35
395.99999999999994,1.1646922897873323E-34,4.2158386623221476E-35,-1.3355695176054991E-36,-4.8886130469688076E-37,8.155288527867201E-35,2.951889362627884E-35
398,1.1653370470465972E-34,4.1956702016443327E-35,-1.3229883485485772E-36,-4.816139633350602E-37,8.159806384269091E-35,2.9377659867144054E-35
400,1.165972433083902E-34,4.175688421209919E-35,-1.3105796185020207E-36,-4.7450875238860614E-37,8.164258617479244E-35,2.923773443066588E-35
