% Model:              3D-Au-Plate-two_Beam.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 11 2025, 15:53
% Dimension:          1
% Nodes:              61
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
920,3.6919060893543366E-23,6.447064302427598E-23,-5.82464465258501E-23,3.000530722654717E-23,-2.300445798143075E-24,3.77089148181665E-23
924.9999999999999,3.0107031401031956E-23,7.538373447988566E-23,-6.814478136195837E-23,2.342593840948209E-23,-2.5155322255086313E-24,3.8921789752508294E-23
930,2.060793546811018E-23,8.588487521509363E-23,-7.761467370360192E-23,1.4360825220158516E-23,-2.756237041807474E-24,4.021677619635865E-23
934.9999999999999,8.132005097788502E-24,9.528271765697448E-23,-8.60061831475411E-23,2.5523433784502488E-24,-3.0370192810469104E-24,4.163183861417997E-23
940,-6.973119750560058E-24,1.0249868112917015E-22,-9.232696956075207E-23,-1.16586022242297E-23,-3.354473573802989E-24,4.315296581404789E-23
945,-2.3840129244770544E-23,1.0664630669023086E-22,-9.577313370925024E-23,-2.74527235219837E-23,-3.702666613315363E-24,4.475817585959095E-23
949.9999999999999,-4.1754499508899075E-23,1.0728182954443644E-22,-9.594197266299498E-23,-4.4160629666454446E-23,-4.098592517273195E-24,4.649041362787017E-23
954.9999999999999,-5.964037648047267E-23,1.0422728356495064E-22,-9.268636429550556E-23,-6.078254351020722E-23,-4.5523881169636665E-24,4.836498793054095E-23
960,-7.646479071690415E-23,9.774457498924567E-23,-8.626555435605293E-23,-7.636657716730564E-23,-5.0737287836144226E-24,5.0400646132992247E-23
965,-9.14188938199782E-23,8.841973030693075E-23,-7.723448153223873E-23,-9.017381280326612E-23,-5.676321743142554E-24,5.261873503749875E-23
969.9999999999999,-1.0401395730385693E-22,7.701643680117056E-23,-6.630664527127256E-23,-1.0176434747557168E-22,-6.376857816557771E-24,5.504453838562645E-23
974.9999999999999,-1.1407176265070123E-22,6.430829218957906E-23,-5.419928159275772E-23,-1.1098504263894654E-22,-7.198311035391443E-24,5.770718928066746E-23
980,-1.2167280111615593E-22,5.097896614189435E-23,-4.1542040099632684E-23,-1.1792027206733128E-22,-8.16653645422173E-24,6.06426728093998E-23
985,-1.2704980009770063E-22,3.754791891513012E-23,-2.8810238872033765E-23,-1.2279194041711092E-22,-9.316731553069954E-24,6.389381839107871E-23
989.9999999999999,-1.3050435805623116E-22,2.4367126090354107E-23,-1.632325801238997E-23,-1.2588316293924417E-22,-1.0696131321893951E-23,6.751267605186232E-23
994.9999999999999,-1.323270261766245E-22,1.1903021579316276E-23,-4.515052560824061E-24,-1.2747039095619087E-22,-1.2315868622887057E-23,7.146474365363743E-23
1000,-1.3286512655049928E-22,4.1080746773805546E-26,6.732143178263952E-24,-1.278685882960204E-22,-1.4286899357370616E-23,7.589510773567488E-23
1005,-1.3231679856291678E-22,-1.1381893084334195E-23,1.757846760598147E-23,-1.2725172900951172E-22,-1.6789898929828454E-23,8.100762901231536E-23
1010,-1.3087530867519483E-22,-2.2139418298740074E-23,2.781045113941586E-23,-1.2580337760870427E-22,-1.992873712702435E-23,8.681630986990248E-23
1014.9999999999999,-1.287653746428654E-22,-3.206470605759696E-23,3.727014693793864E-23,-1.2373730693471001E-22,-2.3806886072100295E-23,9.328881970694931E-23
1019.9999999999999,-1.2606733949185916E-22,-4.1402711077513417E-23,4.6190987007072554E-23,-1.2111780020675E-22,-2.879383161754256E-23,1.0068442622807704E-22
1025,-1.228630441058409E-22,-5.0191876127005143E-23,5.46086717693284E-23,-1.1801790724729627E-22,-3.532361093040585E-23,1.0914676938227932E-22
1030,-1.1921496152584244E-22,-5.846916938902902E-23,6.255713962685483E-23,-1.144927198627064E-22,-4.4037941936683646E-23,1.1880378677822105E-22
1035,-1.1516408859414671E-22,-6.62630650802933E-23,7.006156700335617E-23,-1.105773176437325E-22,-5.591456314096999E-23,1.2968564404291974E-22
1039.9999999999998,-1.1074364322506395E-22,-7.359845613230082E-23,7.714373732580749E-23,-1.0630032476076534E-22,-7.242852820134069E-23,1.4155821402289186E-22
1045,-1.0597438468802778E-22,-8.048843153909941E-23,8.381356820172821E-23,-1.0167849966385971E-22,-9.578047012348137E-23,1.534721429201736E-22
1050,-1.0087483927511333E-22,-8.694054077788621E-23,9.007553455298499E-23,-9.672704948397599E-23,-1.2894967669714628E-22,1.6280961031374448E-22
1055,-9.5459257852163E-23,-9.29520349345329E-23,9.592378753027796E-23,-9.145748240309067E-23,-1.7481760624132839E-22,1.633854893795966E-22
1060,-8.974428286751436E-23,-9.851652603214958E-23,1.0134838232643879E-22,-8.588413372077953E-23,-2.320987358510924E-22,1.4343037713844113E-22
1064.9999999999998,-8.374685330555753E-23,-1.0361715758417177E-22,1.0632879723624992E-22,-8.002337614459967E-23,-2.8622168255809333E-22,8.93417036059333E-23
1070,-7.74905148382523E-23,-1.0824079803561447E-22,1.108494686373267E-22,-7.389955675985484E-23,-3.0759137979042937E-22,5.1510992747620245E-24
1075,-7.100012289707003E-23,-1.1236671369857863E-22,1.148898784312618E-22,-6.753814583414458E-23,-2.8112194598102195E-22,-7.552208998694025E-23
1080,-6.430706468932982E-23,-1.159762549730072E-22,1.1843192320956853E-22,-6.096822909527278E-23,-2.2779677712813195E-22,-1.2402667966246555E-22
1084.9999999999998,-5.763673519335554E-23,-1.1903574365001004E-22,1.2144415782462395E-22,-5.441214305304464E-23,-1.7583902329037783E-22,-1.414886722914753E-22
1090,-5.0842404715219495E-23,-1.2157338937993936E-22,1.2394772125275734E-22,-4.7721455860522986E-23,-1.342757544790196E-22,-1.4188170000945576E-22
1095,-4.378083716912434E-23,-1.2355921468880582E-22,1.2590580152452973E-22,-4.0752457649547377E-23,-1.0289636435499143E-22,-1.3444713342016845E-22
1100,-3.6695245550007934E-23,-1.2497394218432743E-22,1.2730095793563136E-22,-3.374865524318485E-23,-8.03740776467203E-23,-1.244603771701073E-22
