% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
2.0626618432660258,1.3436536534205793E-31,1.0965714742484193E-31,1.409148702105226E-32,-2.736647262446022E-31,1.1990492052509555E-32,-6.517259128336743E-32
2.0943951023931957,1.385121424444651E-31,1.1304138075683505E-31,8.64901222761781E-33,-2.70109078403787E-31,1.2360542011167404E-32,-6.718394449593215E-32
2.126128361520365,1.4268646485960407E-31,1.1644809414097285E-31,4.030262489657683E-33,-2.662394200426223E-31,1.273305005753702E-32,-6.92086582899512E-32
2.1578616206475347,1.4686989418853403E-31,1.1986223978406244E-31,1.847090494309792E-34,-2.621018271439158E-31,1.3106370786381339E-32,-7.123778930242318E-32
2.1895948797747042,1.5104552845468908E-31,1.2327002378517283E-31,-2.936912948266767E-33,-2.5773465479502E-31,1.3478995899668675E-32,-7.326313939680316E-32
2.221328138901874,1.5519785985571452E-31,1.2665879004528269E-31,-5.381826188891219E-33,-2.531697888781827E-31,1.3849541512643548E-32,-7.527718666696774E-32
2.2530613980290437,1.5931264090045268E-31,1.3001691102009869E-31,-7.194757506776696E-33,-2.4843375657644336E-31,1.42167362081612E-32,-7.727302050827508E-32
2.284794657156213,1.6337676136569834E-31,1.3333368730299757E-31,-8.417715812254555E-33,-2.435486879495056E-31,1.4579410056550175E-32,-7.924428193664733E-32
2.3165279162833827,1.6737813708528165E-31,1.3659925686452741E-31,-9.089930392706841E-33,-2.3853313406942585E-31,1.493648469139311E-32,-8.118510964682361E-32
2.3482611754105527,1.7130561066375617E-31,1.398045140236574E-31,-9.247896405247219E-33,-2.3340275416326726E-31,1.528696444939513E-32,-8.309009185450918E-32
2.379994434537722,1.7514886364328227E-31,1.4294103776616594E-31,-8.925488729746201E-33,-2.281708871746202E-31,1.5629928532359502E-32,-8.495422369380733E-32
2.4117276936648917,1.7889833933395814E-31,1.4600102876557288E-31,-8.15411641069188E-33,-2.228490237181113E-31,1.596452412070721E-32,-8.677286978681982E-32
2.443460952792061,1.8254517536316017E-31,1.4897725433583954E-31,-6.962898239687E-33,-2.1744719361927755E-31,1.6289960354319795E-32,-8.854173152737052E-32
2.475194211919231,1.8608114495082046E-31,1.5186300050544203E-31,-5.378846175789277E-33,-2.1197428278237915E-31,1.6605503092070553E-32,-9.0256818597169E-32
2.5069274710464007,1.8949860593416887E-31,1.5465203041590428E-31,-3.427047763772474E-33,-2.0643829142334876E-31,1.6910470362885132E-32,-9.191442424076093E-32
2.53866073017357,1.9279045662030576E-31,1.5733854829253477E-31,-1.1308419030708986E-33,-2.0084654398382675E-31,1.7204228426131323E-32,-9.35111038522662E-32
2.57039398930074,1.9595009761952577E-31,1.5991716829612323E-31,1.4880154310055344E-33,-1.9520585943252619E-31,1.7486188365684726E-32,-9.504365646297684E-32
2.6021272484279097,1.989713988950657E-31,1.6238288763192797E-31,4.4091973535938535E-33,-1.895226892220424E-31,1.7755803149527385E-32,-9.65091087592078E-32
2.633860507555079,2.018486713491212E-31,1.6473106336063945E-31,7.613664904627612E-33,-1.8380322892197153E-31,1.8012565094136245E-32,-9.790470130034947E-32
2.6655937666822487,2.0457664234496528E-31,1.6695739242170918E-31,1.1083538629625414E-32,-1.7805350848835235E-31,1.8256003680128117E-32,-9.922787664611435E-32
2.6973270258094186,2.0715043464004843E-31,1.6905789444039768E-31,1.480198253523826E-32,-1.7227946524093684E-31,1.8485683672293067E-32,-1.0047626913824701E-31
2.729060284936588,2.0956554827278826E-31,1.71028896945384E-31,1.8753099774286387E-32,-1.664870028829097E-31,1.870120350320769E-32,-1.0164769611489637E-31
