% Model:              2D-Au-Plate_fromR2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 9 2025, 23:57
% Dimension:          1
% Nodes:              211
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
200,3.371278043690284E-16,1.9695947791096545E-13,1.134852986347596E-13,7.396186409641877E-14,3.8474376844651285E-13
201.99999999999997,1.073821299801289E-15,1.968357670673076E-13,1.1009464087717877E-13,7.165298270800315E-14,3.7965721195229085E-13
203.99999999999997,2.1920167915929278E-15,1.9308417219839307E-13,1.0635686027275562E-13,7.164165935662936E-14,3.7327470861937094E-13
206,3.4598729643219214E-15,1.8633869410237649E-13,1.027691295998162E-13,7.317996745317898E-14,3.657476641196936E-13
207.99999999999997,4.7790627609338436E-15,1.7670906180255886E-13,9.9796971650775E-14,7.597062629697385E-14,3.572557225112416E-13
209.99999999999997,6.119091954860624E-15,1.6395959254625908E-13,9.806015068128555E-14,7.998744423849946E-14,3.481262794209047E-13
212,7.489827234967244E-15,1.4767232095334224E-13,9.850327850478342E-14,8.540374471718174E-14,3.3906917141027466E-13
213.99999999999997,8.907054553280918E-15,1.2758843196014876E-13,1.0263241470570619E-13,9.251043862567856E-14,3.3163833984481443E-13
215.99999999999997,1.0156048875789255E-14,1.0457423910966496E-13,1.0863424765838787E-13,1.0117255533966385E-13,3.2453709098350594E-13
218,1.1444901217293881E-14,7.361490708262867E-14,8.067210005443937E-14,1.0850869905257435E-13,2.7424060740693623E-13
219.99999999999997,1.6309030154316958E-14,3.6381756369192304E-14,5.889443211491001E-14,1.1346055388500583E-13,2.250457725234251E-13
221.99999999999997,2.271549742732186E-14,1.1259800008719894E-14,4.915557070075868E-14,1.2556948296049944E-13,2.0870035109729987E-13
224,2.4787487214910234E-14,4.993514743677008E-15,2.0023007731317255E-14,1.0461308498052459E-13,1.5441709467042907E-13
225.99999999999997,2.7870455261401114E-14,2.759183877712864E-14,5.3856414968801E-15,9.459804686782763E-14,1.5544598240323749E-13
227.99999999999997,2.788652939966072E-14,1.1410491686116023E-13,4.069282118302029E-15,7.684989169165313E-14,2.2291062007077612E-13
230,2.3219719697347576E-14,2.6832722879828104E-13,1.5964393583308612E-14,4.817444031539385E-14,3.556857823943311E-13
