% Model:              2D-Free-Space.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 10 2025, 01:30
% Dimension:          1
% Nodes:              211
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C (m^2)
144,7.14181026897483E-14,3.97145089158336E-15,2.263894975456955E-16,4.1636971487596266E-15,7.977964022763698E-14
146,7.506211224030129E-14,1.9318698897093812E-14,1.231731807245802E-15,4.1363426665877025E-15,9.974888561122861E-14
147.99999999999997,7.858487930978424E-14,5.548513155337482E-14,2.9294085394235705E-15,4.0876030602414244E-15,1.4108702246282406E-13
150,8.207353894985953E-14,1.0398724762391853E-13,5.142687173413419E-15,4.01431796065862E-15,1.9521779170785012E-13
152,8.561092472600294E-14,1.3425722459047006E-13,7.810672190285183E-15,3.909293522971829E-15,2.3158811502973E-13
153.99999999999997,8.918989434782237E-14,1.3962562637700917E-13,1.092464000819396E-14,3.759141138884029E-15,2.434993018719095E-13
156,9.281814821681314E-14,1.338359311795226E-13,1.4502623251389693E-14,3.551917638819236E-15,2.4470862028654467E-13
158,9.653972467028461E-14,1.259403921484859E-13,1.859061171156438E-14,3.2730266589310328E-15,2.443437551892659E-13
159.99999999999997,1.004009229633968E-13,1.1891509950291038E-13,2.3237947159699464E-14,2.91435928339327E-15,2.454683289093999E-13
162,1.0447331782203041E-13,1.1333389488565269E-13,2.851105580143074E-14,2.4647683754998664E-15,2.487830368846137E-13
164,1.0882331648661571E-13,1.0913646386930668E-13,3.449614191642149E-14,1.925281129104357E-15,2.5438120340144827E-13
165.99999999999997,1.1342778064447093E-13,1.0558380344071318E-13,4.110098720476703E-14,1.3219870318376516E-15,2.614345583217888E-13
168,1.186763785909798E-13,1.0319864854779295E-13,4.866789503397155E-14,6.786534633452793E-16,2.7122157563608955E-13
170,1.241361023570876E-13,1.0144484529576407E-13,5.716141110584033E-14,1.785328202570147E-16,2.82920891578949E-13
171.99999999999997,1.3009520530905934E-13,1.0016096408050222E-13,6.666496900696651E-14,2.057521775428449E-16,2.971268905740709E-13
174,1.363153979648421E-13,9.926463237584741E-14,7.729030787939735E-14,1.7526597629720991E-15,3.1462299798305896E-13
176,1.4227274050291763E-13,9.865807017443458E-14,8.917432847015835E-14,7.471685303181725E-15,3.375768244506923E-13
